bag,induced,frames,intervals,n_in_band,pct_in_band,n_gt_021,n_038_042,n_gt_042,n_lt_0199,dt_max,dur_s
concrete_20260826_2026-08-26-17-52-24,0,9586,9585,9406,98.1325,73,73,0,106,0.403,1917.0
demo_0824_2026-08-24-18-39-18,0,1689,1688,1652,97.8673,12,12,0,21,0.402,337.4
fixed_0824_2026-08-24-17-36-06,0,9026,9025,8847,98.0277,69,69,0,105,0.402,1805.1
fusion_20260825_132239_2026-08-25-13-22-39,0,774,773,759,98.1889,6,6,0,8,0.401,154.7
newfield_20260826_2026-08-26-16-36-00,0,14931,14930,14662,98.205,109,109,0,159,0.404,2986.0
orchard_20260826_2026-08-26-08-31-44,0,4293,4292,4208,98.0429,35,35,0,49,0.401,858.5
quad_20260825_2026-08-25-17-03-46,0,1932,1931,1880,97.3589,21,19,1,27,0.889,386.8
r03_0824_2026-08-24-19-13-50,0,1313,1312,1295,98.7043,6,6,0,11,0.401,262.5
repeat5_0819_2026-08-19-17-48-18,0,3270,3269,3200,97.8893,28,28,0,41,0.404,653.6
repeat_0824_2026-08-24-17-15-53,0,3155,3154,3101,98.3196,20,20,0,33,0.401,630.6
run_20260826_2026-08-26-19-52-27,0,768,767,753,98.1747,5,5,0,9,0.401,153.2
run_20260826_2026-08-26-19-56-35,0,1107,1106,1093,98.8246,7,7,0,6,0.402,222.2
run_20260826_2026-08-26-20-01-01,0,1840,1839,1811,98.4774,7,7,0,16,0.401,367.5
run_20260827_2026-08-27-18-54-23,0,11153,11152,10975,98.4128,68,68,0,109,0.404,2230.2
run_20260828_2026-08-28-10-16-47,0,29355,29354,28899,98.45,172,171,1,282,151.624,6022.0
run_20260828_2026-08-28-16-38-15,0,10999,10998,10813,98.3179,72,72,0,113,0.402,2199.7
run_20260829_2026-08-29-09-12-05,0,15714,15713,15455,98.358,104,103,0,153,0.403,3142.6
run_20260830_2026-08-30-09-41-47,0,448,447,444,99.3289,1,1,0,2,0.401,89.5
run_20260830_2026-08-30-09-44-06,0,3748,3747,3678,98.1585,28,28,0,41,0.402,749.5
run_20260830_2026-08-30-10-12-33,0,621,620,610,98.3871,4,4,0,6,0.401,124.1
run_20260830_2026-08-30-10-15-08,0,2456,2455,2405,97.9633,20,20,0,29,0.401,491.0
run_20260830_2026-08-30-10-35-18,0,25356,25355,24862,98.0556,202,202,0,290,0.402,5070.9
run_20260830_2026-08-30-17-20-39,0,3814,3813,3744,98.1904,27,27,0,41,0.401,762.6
run_20260830_2026-08-30-18-16-30,0,508,507,503,99.211,1,1,0,3,0.401,101.4
run_20260904_2026-09-04-13-49-34,0,6073,6072,5962,98.1884,43,43,0,67,0.402,1214.3
run_20260906_2026-09-06-08-02-57,0,3035,3034,2981,98.2531,21,21,0,32,0.402,607.0
run_20260906_2026-09-06-08-13-50,0,3944,3943,3871,98.174,29,29,0,43,0.401,788.7
run_20260906_2026-09-06-08-28-44,0,4272,4271,4194,98.1971,30,30,0,47,0.403,854.2
run_20260906_2026-09-06-08-43-55,0,4992,4991,4908,98.337,32,32,0,51,0.401,998.1
run_20260906_2026-09-06-15-26-15,1,17585,17584,17226,97.9641,138,138,0,217,0.405,3516.9
run_20260906_2026-09-06-16-32-55,0,17244,17243,16847,97.7034,165,165,0,230,0.403,3448.5
run_20260906_2026-09-06-17-50-37,0,256,255,250,98.0392,2,2,0,3,0.401,51.0
run_20260906_2026-09-06-17-52-42,0,10815,10814,10586,97.8916,91,91,0,135,0.402,2162.8
run_20260907_2026-09-07-13-07-40,0,233,232,229,98.7069,1,1,0,2,0.401,46.4
run_20260907_2026-09-07-13-09-09,0,1278,1277,1246,97.5724,13,13,0,18,0.402,255.4
run_20260907_2026-09-07-13-15-11,0,19012,19011,18643,98.0643,149,144,5,216,1.402,3806.5
run_20260907_2026-09-07-14-19-47,0,9621,9620,9446,98.1913,69,69,0,105,0.404,1924.3
run_20260907_2026-09-07-15-27-57,0,10581,10580,10347,97.7977,96,96,0,136,0.403,2116.1
run_20260909_2026-09-09-07-19-13,0,10648,10647,10480,98.4315,61,61,0,106,0.404,2129.3
run_20260909_2026-09-09-07-56-42,0,9876,9875,9713,98.3595,62,61,1,100,6.009,1980.8
run_20260910_2026-09-10-16-42-10,0,12427,12426,12163,97.8835,104,104,0,157,0.402,2485.1
run_20260910_2026-09-10-17-55-11,0,14278,14277,13996,98.0318,110,110,0,170,0.404,2855.4
run_20260912_2026-09-12-07-46-55,0,14359,14358,14116,98.3145,91,91,0,151,0.404,2871.5
run_20260912_2026-09-12-13-52-20,0,1379,1378,1351,98.0406,11,11,0,16,0.402,275.6
run_20260912_2026-09-12-13-58-05,0,31680,31679,31084,98.1218,232,232,0,362,0.402,6335.7
tight08_0824_2026-08-24-18-56-08,0,1894,1893,1832,96.7776,23,23,0,33,0.402,378.3
tight08slow_0824_2026-08-24-19-03-53,0,1578,1577,1523,96.5758,20,20,0,28,0.402,315.3
