bag,t,wall,dt_s,hd_pair
concrete_20260826_2026-08-26-17-52-24,1787737970.347,2026-08-26 17:52:50.347,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787737970.949,2026-08-26 17:52:50.949,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787737971.149,2026-08-26 17:52:51.149,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787737971.55,2026-08-26 17:52:51.550,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787737971.55,2026-08-26 17:52:51.550,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787737972.152,2026-08-26 17:52:52.152,0.402,1
concrete_20260826_2026-08-26-17-52-24,1787737972.152,2026-08-26 17:52:52.152,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787737973.155,2026-08-26 17:52:53.155,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787737973.155,2026-08-26 17:52:53.155,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738056.422,2026-08-26 17:54:16.422,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738056.822,2026-08-26 17:54:16.822,0.4,1
concrete_20260826_2026-08-26-17-52-24,1787738057.424,2026-08-26 17:54:17.424,0.001,1
concrete_20260826_2026-08-26-17-52-24,1787738058.225,2026-08-26 17:54:18.225,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738058.426,2026-08-26 17:54:18.426,0.001,1
concrete_20260826_2026-08-26-17-52-24,1787738059.228,2026-08-26 17:54:19.228,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738059.228,2026-08-26 17:54:19.228,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738129.853,2026-08-26 17:55:29.853,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738130.254,2026-08-26 17:55:30.254,0.4,1
concrete_20260826_2026-08-26-17-52-24,1787738130.254,2026-08-26 17:55:30.254,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738170.187,2026-08-26 17:56:10.187,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738224.361,2026-08-26 17:57:04.361,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738225.163,2026-08-26 17:57:05.163,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738225.166,2026-08-26 17:57:05.166,0.003,1
concrete_20260826_2026-08-26-17-52-24,1787738296.397,2026-08-26 17:58:16.397,0.001,1
concrete_20260826_2026-08-26-17-52-24,1787738297.199,2026-08-26 17:58:17.199,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738297.199,2026-08-26 17:58:17.199,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738298.201,2026-08-26 17:58:18.201,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738298.201,2026-08-26 17:58:18.201,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738299.203,2026-08-26 17:58:19.203,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738299.203,2026-08-26 17:58:19.203,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738304.219,2026-08-26 17:58:24.219,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738304.219,2026-08-26 17:58:24.219,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738364.818,2026-08-26 17:59:24.818,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738365.219,2026-08-26 17:59:25.219,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738365.219,2026-08-26 17:59:25.219,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738365.619,2026-08-26 17:59:25.619,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738365.622,2026-08-26 17:59:25.622,0.003,1
concrete_20260826_2026-08-26-17-52-24,1787738366.223,2026-08-26 17:59:26.223,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738366.223,2026-08-26 17:59:26.223,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738367.226,2026-08-26 17:59:27.226,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738367.226,2026-08-26 17:59:27.226,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738367.828,2026-08-26 17:59:27.828,0.402,1
concrete_20260826_2026-08-26-17-52-24,1787738367.828,2026-08-26 17:59:27.828,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738368.228,2026-08-26 17:59:28.228,0.4,1
concrete_20260826_2026-08-26-17-52-24,1787738368.228,2026-08-26 17:59:28.228,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738425.412,2026-08-26 18:00:25.412,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738426.214,2026-08-26 18:00:26.214,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738426.216,2026-08-26 18:00:26.216,0.003,1
concrete_20260826_2026-08-26-17-52-24,1787738480.603,2026-08-26 18:01:20.603,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738481.204,2026-08-26 18:01:21.204,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738481.204,2026-08-26 18:01:21.204,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738481.605,2026-08-26 18:01:21.605,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738481.608,2026-08-26 18:01:21.608,0.003,1
concrete_20260826_2026-08-26-17-52-24,1787738482.209,2026-08-26 18:01:22.209,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738482.21,2026-08-26 18:01:22.210,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738546.602,2026-08-26 18:02:26.602,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738547.206,2026-08-26 18:02:27.206,0.403,1
concrete_20260826_2026-08-26-17-52-24,1787738547.206,2026-08-26 18:02:27.206,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738610.606,2026-08-26 18:03:30.606,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738611.207,2026-08-26 18:03:31.207,0.4,1
concrete_20260826_2026-08-26-17-52-24,1787738611.207,2026-08-26 18:03:31.207,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738674.62,2026-08-26 18:04:34.620,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738675.221,2026-08-26 18:04:35.221,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738675.221,2026-08-26 18:04:35.221,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738676.223,2026-08-26 18:04:36.223,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738676.224,2026-08-26 18:04:36.224,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738676.825,2026-08-26 18:04:36.825,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738676.825,2026-08-26 18:04:36.825,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738677.226,2026-08-26 18:04:37.226,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738677.226,2026-08-26 18:04:37.226,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738738.642,2026-08-26 18:05:38.642,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738739.243,2026-08-26 18:05:39.243,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738739.243,2026-08-26 18:05:39.243,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738739.644,2026-08-26 18:05:39.644,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738739.645,2026-08-26 18:05:39.645,0.001,1
concrete_20260826_2026-08-26-17-52-24,1787738740.447,2026-08-26 18:05:40.447,0.4,1
concrete_20260826_2026-08-26-17-52-24,1787738740.447,2026-08-26 18:05:40.447,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738798.454,2026-08-26 18:06:38.454,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738799.256,2026-08-26 18:06:39.256,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738799.457,2026-08-26 18:06:39.457,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738857.464,2026-08-26 18:07:37.464,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738858.266,2026-08-26 18:07:38.266,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738858.269,2026-08-26 18:07:38.269,0.003,1
concrete_20260826_2026-08-26-17-52-24,1787738914.47,2026-08-26 18:08:34.470,0.001,1
concrete_20260826_2026-08-26-17-52-24,1787738915.272,2026-08-26 18:08:35.272,0.4,1
concrete_20260826_2026-08-26-17-52-24,1787738915.473,2026-08-26 18:08:35.473,0.001,1
concrete_20260826_2026-08-26-17-52-24,1787738916.275,2026-08-26 18:08:36.275,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738916.275,2026-08-26 18:08:36.275,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738975.481,2026-08-26 18:09:35.481,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787738976.283,2026-08-26 18:09:36.283,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787738976.283,2026-08-26 18:09:36.283,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739031.885,2026-08-26 18:10:31.885,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739032.286,2026-08-26 18:10:32.286,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739032.487,2026-08-26 18:10:32.487,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739033.29,2026-08-26 18:10:33.290,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739033.29,2026-08-26 18:10:33.290,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739093.292,2026-08-26 18:11:33.292,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739093.693,2026-08-26 18:11:33.693,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739093.693,2026-08-26 18:11:33.693,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739094.294,2026-08-26 18:11:34.294,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739094.496,2026-08-26 18:11:34.496,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739151.495,2026-08-26 18:12:31.495,0.001,1
concrete_20260826_2026-08-26-17-52-24,1787739151.896,2026-08-26 18:12:31.896,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739151.896,2026-08-26 18:12:31.896,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739152.296,2026-08-26 18:12:32.296,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739152.698,2026-08-26 18:12:32.698,0.0,1
concrete_20260826_2026-08-26-17-52-24,1787739153.099,2026-08-26 18:12:33.099,0.401,1
concrete_20260826_2026-08-26-17-52-24,1787739153.501,2026-08-26 18:12:33.501,0.001,1
