bag,site,induced,t,dt,dpsi_deg,dpsi_imu_deg,cls_imu,has_lidar,n_lidar_win,dpsi_lidar_deg,n_lidar_2s,dpsi_lidar_2s,dpsi_gyro_win_deg,dpsi_gyro_2s_deg,min_fitness_win,min_fitness_2s
concrete_20260826_2026-08-26-17-52-24,concrete yard,0,1787739765.1020,0.2000,11.5062,0.0060,slow,0,nan,nan,nan,nan,nan,nan,nan,nan
concrete_20260826_2026-08-26-17-52-24,concrete yard,0,1787739765.5030,0.2010,-32.4422,-0.0000,slow,0,nan,nan,nan,nan,nan,nan,nan,nan
orchard_20260826_2026-08-26-08-31-44,orchard,0,1787704844.3760,0.2010,9.3981,6.7610,turn,1,5,-17.6869,20,-57.9870,-17.7603,-54.2772,0.984,0.974
run_20260827_2026-08-27-18-54-23,concrete yard,0,1787828255.7210,0.2000,9.0548,0.0030,slow,0,nan,nan,nan,nan,nan,nan,nan,nan
run_20260828_2026-08-28-10-16-47,greenhouse,0,1787884061.6480,0.2010,10.1819,-0.0140,straight,0,nan,nan,nan,nan,nan,nan,nan,nan
run_20260828_2026-08-28-10-16-47,greenhouse,0,1787884892.6350,0.2000,8.9576,2.3940,turn,0,nan,nan,nan,nan,nan,nan,nan,nan
run_20260828_2026-08-28-10-16-47,greenhouse,0,1787884902.6760,0.2000,11.1431,0.0070,slow,0,nan,nan,nan,nan,nan,nan,nan,nan
run_20260828_2026-08-28-10-16-47,greenhouse,0,1787885288.7000,0.2010,-18.1077,-1.5170,turn,0,nan,nan,nan,nan,nan,nan,nan,nan
run_20260828_2026-08-28-10-16-47,greenhouse,0,1787885406.5190,0.2010,12.0877,-0.0030,slow,0,nan,nan,nan,nan,nan,nan,nan,nan
run_20260828_2026-08-28-10-16-47,greenhouse,0,1787885595.4470,0.2010,8.4955,-0.0040,slow,0,nan,nan,nan,nan,nan,nan,nan,nan
run_20260828_2026-08-28-10-16-47,greenhouse,0,1787885768.6610,0.2010,10.8127,0.0000,slow,0,nan,nan,nan,nan,nan,nan,nan,nan
run_20260828_2026-08-28-10-16-47,greenhouse,0,1787887923.7630,0.2010,-24.0252,-2.9580,turn,0,nan,nan,nan,nan,nan,nan,nan,nan
