event_id,bag,t_offset,t_abs,amp_deg,dur_frames,rep,kind
E00,run_20260909_2026-09-09-07-56-42,1590.0,1788913392.737,5.0,1,0,synthetic
E01,run_20260909_2026-09-09-07-56-42,1602.0,1788913404.737,5.0,2,0,synthetic
E02,run_20260909_2026-09-09-07-56-42,1614.0,1788913416.737,5.0,5,0,synthetic
E03,run_20260909_2026-09-09-07-56-42,1626.0,1788913428.737,10.0,1,0,synthetic
E04,run_20260909_2026-09-09-07-56-42,1638.0,1788913440.737,10.0,2,0,synthetic
E05,run_20260909_2026-09-09-07-56-42,1650.0,1788913452.737,10.0,5,0,synthetic
E06,run_20260909_2026-09-09-07-56-42,1662.0,1788913464.737,20.0,1,0,synthetic
E07,run_20260909_2026-09-09-07-56-42,1674.0,1788913476.737,20.0,2,0,synthetic
E08,run_20260909_2026-09-09-07-56-42,1686.0,1788913488.737,20.0,5,0,synthetic
E09,run_20260909_2026-09-09-07-56-42,1698.0,1788913500.737,45.0,1,0,synthetic
E10,run_20260909_2026-09-09-07-56-42,1710.0,1788913512.737,45.0,2,0,synthetic
E11,run_20260909_2026-09-09-07-56-42,1722.0,1788913524.737,45.0,5,0,synthetic
E12,run_20260909_2026-09-09-07-56-42,1734.0,1788913536.737,90.0,1,0,synthetic
E13,run_20260909_2026-09-09-07-56-42,1746.0,1788913548.737,90.0,2,0,synthetic
E14,run_20260909_2026-09-09-07-56-42,1758.0,1788913560.737,90.0,5,0,synthetic
E15,run_20260909_2026-09-09-07-56-42,1770.0,1788913572.737,5.0,1,1,synthetic
E16,run_20260909_2026-09-09-07-56-42,1782.0,1788913584.737,5.0,2,1,synthetic
E17,run_20260909_2026-09-09-07-56-42,1794.0,1788913596.737,5.0,5,1,synthetic
E18,run_20260909_2026-09-09-07-56-42,1806.0,1788913608.737,10.0,1,1,synthetic
E19,run_20260909_2026-09-09-07-56-42,1818.0,1788913620.737,10.0,2,1,synthetic
E20,run_20260909_2026-09-09-07-56-42,1830.0,1788913632.737,10.0,5,1,synthetic
E21,run_20260909_2026-09-09-07-56-42,1842.0,1788913644.737,20.0,1,1,synthetic
E22,run_20260909_2026-09-09-07-56-42,1854.0,1788913656.737,20.0,2,1,synthetic
E23,run_20260909_2026-09-09-07-56-42,1866.0,1788913668.737,20.0,5,1,synthetic
E24,run_20260909_2026-09-09-07-56-42,1878.0,1788913680.737,45.0,1,1,synthetic
E25,run_20260909_2026-09-09-07-56-42,1890.0,1788913692.737,45.0,2,1,synthetic
E26,run_20260909_2026-09-09-07-56-42,1902.0,1788913704.737,45.0,5,1,synthetic
E27,run_20260909_2026-09-09-07-56-42,1914.0,1788913716.737,90.0,1,1,synthetic
E28,run_20260909_2026-09-09-07-56-42,1926.0,1788913728.737,90.0,2,1,synthetic
E29,run_20260909_2026-09-09-07-56-42,1938.0,1788913740.737,90.0,5,1,synthetic
E30,run_20260909_2026-09-09-07-56-42,1950.0,1788913752.737,5.0,1,2,synthetic
E31,run_20260909_2026-09-09-07-56-42,1962.0,1788913764.737,5.0,2,2,synthetic
E32,run_20260909_2026-09-09-07-56-42,1000.0,1788912802.737,5.0,5,2,synthetic
E33,run_20260909_2026-09-09-07-56-42,1012.0,1788912814.737,10.0,1,2,synthetic
E34,run_20260909_2026-09-09-07-56-42,1024.0,1788912826.737,10.0,2,2,synthetic
E35,run_20260909_2026-09-09-07-56-42,1036.0,1788912838.737,10.0,5,2,synthetic
E36,run_20260909_2026-09-09-07-56-42,1048.0,1788912850.737,20.0,1,2,synthetic
E37,run_20260909_2026-09-09-07-56-42,1060.0,1788912862.737,20.0,2,2,synthetic
E38,run_20260909_2026-09-09-07-56-42,1072.0,1788912874.737,20.0,5,2,synthetic
E39,run_20260909_2026-09-09-07-56-42,1084.0,1788912886.737,45.0,1,2,synthetic
E40,run_20260909_2026-09-09-07-56-42,106.0,1788911908.737,45.0,2,2,synthetic
E41,run_20260909_2026-09-09-07-56-42,118.0,1788911920.737,45.0,5,2,synthetic
E42,run_20260909_2026-09-09-07-56-42,130.0,1788911932.737,90.0,1,2,synthetic
E43,run_20260909_2026-09-09-07-56-42,142.0,1788911944.737,90.0,2,2,synthetic
E44,run_20260909_2026-09-09-07-56-42,154.0,1788911956.737,90.0,5,2,synthetic
