t_abs,reason
1788913120.804,hd_ok=0 (driver publishes the antenna point, the replay inversion does not apply)
1788913121.007,hd_ok=0 (driver publishes the antenna point, the replay inversion does not apply)
1788913121.208,hd_ok=0 (driver publishes the antenna point, the replay inversion does not apply)
1788913121.409,hd_ok=0 (driver publishes the antenna point, the replay inversion does not apply)
1788913237.877,hd_ok=0 (driver publishes the antenna point, the replay inversion does not apply)
1788913238.277,hd_ok=0 (driver publishes the antenna point, the replay inversion does not apply)
1788913238.278,hd_ok=0 (driver publishes the antenna point, the replay inversion does not apply)
1788913242.696,hd_ok=0 (driver publishes the antenna point, the replay inversion does not apply)
1788913242.897,hd_ok=0 (driver publishes the antenna point, the replay inversion does not apply)
1788913243.097,hd_ok=0 (driver publishes the antenna point, the replay inversion does not apply)
