arm,family,q,event_id,amp_deg,dur,t_abs,jump_m,peak_m,peak_base_m,recovery_s,withheld,gate_warns,filt_step_deg,filt_exc_deg
inj_gate_q060,gate,0.06,E00,5.0,1,1788913392.737,0.0317,0.0317,0.0086,0.361,0,0,5.361,5.357
inj_gate_q060,gate,0.06,E01,5.0,2,1788913404.737,0.0001,0.0319,0.0005,0.61,0,0,4.971,5.874
inj_gate_q060,gate,0.06,E02,5.0,5,1788913416.737,0.0251,0.0319,0.0187,1.063,0,0,4.282,5.483
inj_gate_q060,gate,0.06,E03,10.0,1,1788913428.737,0.023,0.0613,0.0002,0.515,0,0,9.1,5.492
inj_gate_q060,gate,0.06,E04,10.0,2,1788913440.737,0.0564,0.0637,0.0099,0.564,0,0,10.019,9.956
inj_gate_q060,gate,0.06,E05,10.0,5,1788913452.737,-0.0044,0.0691,0.0,1.216,0,0,8.494,8.897
inj_gate_q060,gate,0.06,E06,20.0,1,1788913464.737,0.0017,0.0018,0.037,0.265,0,1,19.658,21.015
inj_gate_q060,gate,0.06,E07,20.0,2,1788913476.737,0.0212,0.0597,0.0191,2.128,0,3,25.574,23.173
inj_gate_q060,gate,0.06,E08,20.0,5,1788913488.737,0.0417,0.0547,0.0505,1.372,0,4,26.433,37.85
inj_gate_q060,gate,0.06,E09,45.0,1,1788913500.737,-0.0006,0.0337,0.0002,1.22,0,1,43.824,44.815
inj_gate_q060,gate,0.06,E10,45.0,2,1788913512.737,0.0101,0.0214,0.0204,0.47,0,3,44.686,43.088
inj_gate_q060,gate,0.06,E11,45.0,5,1788913524.737,0.0054,0.0135,0.0006,0.324,2,3,46.828,45.565
inj_gate_q060,gate,0.06,E12,90.0,1,1788913536.737,0.0074,0.0074,0.0078,0.375,0,1,89.435,88.153
inj_gate_q060,gate,0.06,E13,90.0,2,1788913548.737,0.0033,0.0068,0.0005,0.425,0,3,89.158,89.188
inj_gate_q060,gate,0.06,E14,90.0,5,1788913560.737,0.0019,0.0065,0.007,0.478,0,3,89.139,89.786
inj_gate_q060,gate,0.06,E15,5.0,1,1788913572.737,0.0317,0.0326,0.0012,0.536,0,0,5.074,4.691
inj_gate_q060,gate,0.06,E16,5.0,2,1788913584.737,0.0317,0.0319,0.0037,0.585,0,0,5.109,5.086
inj_gate_q060,gate,0.06,E17,5.0,5,1788913596.737,0.0317,0.0319,0.0002,1.034,0,0,5.304,5.231
inj_gate_q060,gate,0.06,E18,10.0,1,1788913608.737,0.0633,0.0633,0.0028,0.286,0,0,9.883,9.645
inj_gate_q060,gate,0.06,E19,10.0,2,1788913620.737,0.063,0.0637,0.0,0.542,0,0,9.617,9.922
inj_gate_q060,gate,0.06,E20,10.0,5,1788913632.737,0.0633,0.0637,0.0026,1.194,0,0,11.226,10.027
inj_gate_q060,gate,0.06,E21,20.0,1,1788913644.737,0.0028,0.0028,0.0,0.237,0,1,19.789,19.493
inj_gate_q060,gate,0.06,E22,20.0,2,1788913656.737,0.003,0.0033,0.0036,0.289,0,3,20.389,20.197
inj_gate_q060,gate,0.06,E23,20.0,5,1788913668.737,0.002,0.0081,0.0001,0.545,0,3,20.287,20.622
inj_gate_q060,gate,0.06,E24,45.0,1,1788913680.737,0.0001,0.0018,0.0091,0.593,0,1,45.088,44.849
inj_gate_q060,gate,0.06,E25,45.0,2,1788913692.737,0.006,0.006,0.0003,0.24,0,3,45.656,45.366
inj_gate_q060,gate,0.06,E26,45.0,5,1788913704.737,0.0012,0.0135,0.0034,1.097,0,3,46.776,46.251
inj_gate_q060,gate,0.06,E27,90.0,1,1788913716.737,0.0016,0.0036,0.0,0.546,0,1,89.185,89.735
inj_gate_q060,gate,0.06,E28,90.0,2,1788913728.737,0.0022,0.0036,0.0013,0.798,0,3,89.779,90.924
inj_gate_q060,gate,0.06,E29,90.0,5,1788913740.737,0.0053,0.0064,0.0,0.446,0,3,89.106,89.829
inj_gate_q060,gate,0.06,E30,5.0,1,1788913752.737,0.0317,0.0318,0.0001,0.298,0,0,4.589,4.732
inj_gate_q060,gate,0.06,E31,5.0,2,1788913764.737,0.0268,0.0319,0.0041,0.553,0,0,2.878,4.618
inj_gate_q060,gate,0.06,E32,5.0,5,1788912802.737,0.0317,0.0319,0.0,1.037,0,0,4.754,6.051
inj_gate_q060,gate,0.06,E33,10.0,1,1788912814.737,0.0634,0.0634,0.0084,0.284,0,0,10.738,10.036
inj_gate_q060,gate,0.06,E34,10.0,2,1788912826.737,0.0633,0.0637,0.0001,0.533,0,0,10.155,10.162
inj_gate_q060,gate,0.06,E35,10.0,5,1788912838.737,0.0633,0.0638,0.0025,1.179,0,0,10.334,10.166
