t_ref,t_rec,hdg_deg,dpsi_deg,dpsi_imu_deg,gyro_inc_deg,gz_cum_deg,hd_ok,quality,sats,gz_max,course_deg,speed_ms,course_minus_hdgyaw,yaw_in_deg,meas_state,meas_published,meas_used_yaw_deg,meas_hold_count,meas_valid,meas_reanchor,meas_fallback_b,gate_delta_deg,gate_budget_deg,anchor_t_ref,age_since_anchor_s,node_state_both,node_state_gated,dev_stock,dev_stock_published,dev_gated,dev_gated_published,dev_meas,dev_meas_published,dev_both,dev_both_published
1520.08,1524.3,262.725,0.3041,0.005,0.00243077,-318.098,1,4,21,0.0027,153.435,0.0110971,-33.8402,-172.725,ACCEPT,1,-172.725,0,1,0,0,-0.3041,17.0054,1520.08,0,accept (re-anchored by gyro),hold,0.00194062,1,1.27279e-05,1,0.00193282,1,1.27279e-05,1
1520.28,1524.5,262.828,0.1035,0.004,0.000586709,-318.098,1,4,21,0.0045,90,0.00498753,-97.1716,-172.828,ACCEPT,1,-172.828,0,1,0,0,-0.1035,17.0054,1520.28,0,accept (re-anchored by gyro),hold,4.24264e-06,1,4.24264e-06,1,0.00064041,1,4.24264e-06,1
1520.48,1524.7,262.398,-0.4307,-0.017,7.83806e-05,-318.098,1,4,21,0.0131,-120.069,0.0546132,52.3291,-172.398,ACCEPT,1,-172.398,0,1,0,0,0.4307,17.0054,1520.48,0,accept (re-anchored by gyro),hold,0.00264479,1,1.76918e-05,1,0.00264479,1,1.76918e-05,1
1520.68,1524.9,264.79,2.3923,-0.01,0.0170969,-318.081,1,4,21,0.0082,-124.695,0.0393318,50.0948,-174.79,ACCEPT,1,-174.79,0,1,0,0,-2.3923,17.0054,1520.69,0,accept (re-anchored by gyro),hold,0.0152258,1,0.00078844,1,0.0153999,1,0.00225219,1
1520.89,1525.1,264.128,-0.6618,-0.012,-0.0122814,-318.093,1,4,21,0.0084,75.9638,0.0102565,-109.908,-174.128,ACCEPT,1,-174.128,0,1,0,0,0.6618,17.0054,1520.89,0,accept (re-anchored by gyro),hold,0.00398332,1,2.54558e-05,1,0.0040215,1,2.54558e-05,1
1521.09,1525.3,264.257,0.1291,0.003,0,-318.093,1,4,21,0.0061,-126.87,0.0124378,47.3874,-174.257,ACCEPT,1,-174.257,0,1,0,0,-0.1291,17.0054,1521.09,0,accept (re-anchored by gyro),hold,0.00082315,1,5e-06,1,0.000833049,1,5e-06,1
1521.29,1525.5,264.954,0.6962,0.006,0.00310904,-318.09,1,4,21,0.0047,-153.435,0.0111525,21.5186,-174.954,ACCEPT,1,-174.954,0,1,0,0,-0.6962,17.0054,1521.29,0,accept (re-anchored by gyro),hold,0.00447751,1,2.82843e-05,1,0.00447751,1,2.82843e-05,1
1521.49,1525.7,265.467,0.5139,-0.001,0.000850269,-318.089,1,4,21,0.0046,109.983,0.0291888,-74.5495,-175.467,ACCEPT,1,-175.467,0,1,0,0,-0.5139,17.0054,1521.49,0,accept (re-anchored by gyro),hold,2.05183e-05,1,2.05183e-05,1,0.00333403,1,0.000454683,1
1521.69,1525.9,264.805,-0.6623,-0.004,0,-318.089,1,4,21,0.0028,69.444,0.0212537,-115.751,-174.805,ACCEPT,1,-174.805,0,1,0,0,0.6623,17.0054,1521.69,0,accept (re-anchored by gyro),hold,0.00422144,1,0.000386083,1,0.00420517,1,0.000386083,1
1521.89,1526.1,264.497,-0.3082,0.001,-0.00363651,-318.093,1,4,21,0.0027,0,0.00497512,174.497,-174.497,ACCEPT,1,-174.497,0,1,0,0,0.3082,17.0054,1521.89,0,accept (re-anchored by gyro),hold,1.27279e-05,1,1.27279e-05,1,1.27279e-05,1,1.27279e-05,1
1522.09,1526.3,264.526,0.0293,-0.004,-0.000115508,-318.093,1,4,21,0.0033,116.565,0.00556236,-68.9087,-174.526,ACCEPT,1,-174.526,0,1,0,0,-0.0293,17.0054,1522.09,0,accept (re-anchored by gyro),hold,0.000135772,1,0,1,0.000135772,1,0,1
1522.29,1526.51,264.804,0.2779,-0.002,-0.0138907,-318.107,1,4,21,0.0072,146.31,0.0089914,-38.886,-174.804,ACCEPT,1,-174.804,0,1,0,0,-0.2779,17.0054,1522.29,0,accept (re-anchored by gyro),hold,1.13137e-05,1,9.89949e-06,1,0.00170416,1,9.89949e-06,1
1522.49,1526.71,264.691,-0.1128,-0.011,0.00596512,-318.101,1,4,21,0.0074,-63.4349,0.00557623,111.256,-174.691,ACCEPT,1,-174.691,0,1,0,0,0.1128,17.0054,1522.49,0,accept (re-anchored by gyro),hold,4.03113e-05,1,4.24264e-06,1,0.000692267,1,4.24264e-06,1
1522.69,1526.91,264.443,-0.2478,0.003,0.00249282,-318.098,1,4,21,0.0041,0,0.00746269,174.443,-174.444,ACCEPT,1,-174.444,0,1,0,0,0.2478,17.0054,1522.69,0,accept (re-anchored by gyro),hold,4.59674e-05,1,9.89949e-06,1,9.89949e-06,1,9.89949e-06,1
1522.89,1527.11,263.917,-0.5267,0.004,-0.002343,-318.1,1,4,21,0.0031,123.69,0.00896903,-62.3931,-173.917,ACCEPT,1,-173.917,0,1,0,0,0.5267,17.0054,1522.89,0,accept (re-anchored by gyro),hold,0.00337324,1,2.05183e-05,1,2.12132e-05,1,2.12132e-05,1
1523.1,1527.31,264.51,0.5937,-0.003,0.00444632,-318.096,1,4,21,0.0029,90,0.00248756,-95.4895,-174.51,ACCEPT,1,-174.51,0,1,0,0,-0.5937,17.0054,1523.1,0,accept (re-anchored by gyro),hold,2.33452e-05,1,2.33452e-05,1,2.33452e-05,1,2.33452e-05,1
1523.3,1527.51,264.196,-0.3147,0.001,-0.00159431,-318.098,1,4,21,0.0014,-71.5651,0.00788598,102.631,-174.196,ACCEPT,1,-174.196,0,1,0,0,0.3147,17.0054,1523.3,0,accept (re-anchored by gyro),hold,1.27279e-05,1,1.27279e-05,1,0.000631494,1,1.27279e-05,1
1523.5,1527.71,264.443,0.2474,0.007,0.000362281,-318.097,1,4,22,0.0024,0,0.00997506,174.443,-174.443,ACCEPT,1,-174.443,0,1,0,0,-0.2474,17.0054,1523.5,0,accept (re-anchored by gyro),hold,9.89949e-06,1,9.89949e-06,1,0.000192338,1,9.89949e-06,1
1523.7,1527.91,264.011,-0.4325,-0.003,0.00254634,-318.095,1,4,22,0.0015,-128.66,0.0159282,45.3509,-174.011,ACCEPT,1,-174.011,0,1,0,0,0.4325,17.0054,1523.7,0,accept (re-anchored by gyro),hold,1.76918e-05,1,1.76918e-05,1,1.76918e-05,1,1.76918e-05,1
1523.9,1528.11,266.093,2.0819,-0.001,-5.64936e-05,-318.095,1,4,22,0.0016,-130.601,0.0458684,45.4913,-176.093,ACCEPT,1,-176.093,0,1,0,0,-2.0819,17.0054,1523.9,0,accept (re-anchored by gyro),hold,8.34506e-05,1,8.34506e-05,1,8.34506e-05,1,8.34506e-05,1
1524.1,1528.31,266.42,0.3277,-0.009,0.00320415,-318.092,1,4,22,0.0025,-146.31,0.0089914,30.1104,-176.42,ACCEPT,1,-176.42,0,1,0,0,-0.3277,17.0054,1524.1,0,accept (re-anchored by gyro),hold,0.000943519,1,1.34536e-05,1,0.000943519,1,1.34536e-05,1
1524.3,1528.51,266.406,-0.0145,-0.004,-0.000104049,-318.092,1,4,22,0.0015,60.2551,0.0201054,-123.339,-176.406,ACCEPT,1,-176.406,0,1,0,0,0.0145,17.0054,1524.3,0,accept (re-anchored by gyro),hold,2.26274e-05,1,1e-06,1,2.26274e-05,1,1e-06,1
1524.5,1528.71,265.895,-0.5109,-0.005,0.00215071,-318.09,1,4,21,0.0017,55.3048,0.0393318,-128.8,-175.895,ACCEPT,1,-175.895,0,1,0,0,0.5109,17.0054,1524.5,0,accept (re-anchored by gyro),hold,0.000229837,1,1.9799e-05,1,0.000229837,1,1.9799e-05,1
1524.7,1528.91,264.811,-1.0841,-0.001,0.00143658,-318.088,1,4,21,0.0102,-151.699,0.03682,23.1116,-174.811,ACCEPT,1,-174.811,0,1,0,0,1.0841,17.0054,1524.7,0,accept (re-anchored by gyro),hold,4.31393e-05,1,4.24264e-05,1,4.31393e-05,1,4.24264e-05,1
