run,t_start,t_end,dur_s,peak_m,t_peak,n_frames,label,frozen,hd_ok0,jump_vs_gyro,turning,injection,meas_nonaccept,node_warns
bas_stock_q060,989.5915169715881,989.5915169715881,0.0,0.11473694244208443,989.5915169715881,1,"heading jump, gyro contradicts",0,0,1,0,0,0,
bas_stock_q060,1315.6627941131592,1315.6627941131592,0.0,0.29023246698641,1315.6627941131592,1,frozen heading,1,1,1,0,0,0,
bas_stock_q060,1317.6709899902344,1317.6709899902344,0.0,0.5303332968200558,1317.6709899902344,1,"heading jump, gyro contradicts",0,0,1,0,0,0,
bas_stock_q060,1530.5288081169128,1530.5288081169128,0.0,0.24663877362855943,1530.5288081169128,1,frozen heading,1,0,1,1,0,0,
bas_stock_q060,1684.3633279800415,1684.3633279800415,0.0,0.10363538486926292,1684.3633279800415,1,injection,0,0,1,0,1,0,
bas_gate_q060,989.5915169715881,989.9933190345764,0.40180206298828125,0.11497327027195817,989.9933190345764,3,"heading jump, gyro contradicts",0,0,1,0,0,0,hold;stale
bas_gate_q060,1313.8530700206757,1314.2575631141663,0.4044930934906006,0.22201609429275931,1314.2575631141663,3,frozen heading,1,1,1,0,0,0,hold;reanchor_gyro;stale
bas_gate_q060,1315.4621889591217,1315.8634791374207,0.4012901782989502,0.4927065614603111,1315.6627941131592,3,frozen heading,1,1,1,0,0,0,hold;reanchor_gyro;stale
bas_gate_q060,1317.0689010620117,1317.0689010620117,0.0,0.5161369662454021,1317.0689010620117,1,frozen heading,1,1,1,0,0,0,hold
bas_gate_q060,1430.9257810115814,1435.945855140686,5.020074129104614,0.7261403200931752,1433.5351221561432,25,frozen heading,1,1,1,0,0,0,hold;stale
bas_gate_q060,1436.7484500408173,1436.7484500408173,0.0,0.689982359723064,1436.7484500408173,1,frozen heading,1,1,1,0,0,0,
bas_gate_q060,1438.1530439853668,1438.1530439853668,0.0,0.6456092902832136,1438.1530439853668,1,frozen heading,1,1,1,0,0,0,
bas_gate_q060,1440.362725019455,1440.362725019455,0.0,0.687308496485371,1440.362725019455,1,frozen heading,1,0,0,0,0,0,
bas_gate_q060,1502.409441947937,1502.6100161075592,0.20057415962219238,0.14383006313007057,1502.6100161075592,2,frozen heading,1,0,1,0,0,0,hold
bas_gate_q060,1504.2159931659698,1504.2159931659698,0.0,0.12814321040148804,1504.2159931659698,1,frozen heading,1,0,1,0,0,0,hold;reanchor_gyro;stale
bas_gate_q060,1527.1125569343567,1527.513780117035,0.40122318267822266,0.22955753017054412,1527.313091993332,3,frozen heading,1,0,1,0,0,0,hold;stale
bas_gate_q060,1529.5217070579529,1536.1504859924316,6.62877893447876,0.7295029897128601,1535.1470401287079,28,frozen heading,1,0,1,1,0,0,hold;reanchor_gyro;stale
bas_gate_q060,1536.9525451660156,1536.9525451660156,0.0,0.6524949893462766,1536.9525451660156,1,other,0,0,0,1,0,0,
bas_gate_q060,1537.7557010650635,1538.157376050949,0.4016749858856201,0.5859453942826077,1537.7557010650635,3,other,0,0,0,1,0,0,
bas_gate_q060,1538.959165096283,1538.959165096283,0.0,0.47776045671549644,1538.959165096283,1,other,0,0,0,1,0,0,
bas_gate_q060,1684.1628000736237,1684.1628000736237,0.0,0.12338611593287127,1684.1628000736237,1,injection,0,0,1,0,1,0,
bas_meas_q060,989.5915169715881,990.1938209533691,0.6023039817810059,0.11492481706317534,989.9933190345764,4,"heading jump, gyro contradicts",0,0,1,0,0,3,
bas_meas_q060,1313.8530700206757,1317.4704010486603,3.617331027984619,0.5204616185214902,1316.867558002472,19,frozen heading,1,1,1,0,0,19,
bas_meas_q060,1430.9257810115814,1440.362725019455,9.436944007873535,0.725728522887888,1433.5351221561432,47,frozen heading,1,1,1,0,0,48,
bas_meas_q060,1502.409441947937,1502.6100161075592,0.20057415962219238,0.14383131339871602,1502.6100161075592,2,frozen heading,1,0,1,0,0,2,
bas_meas_q060,1504.2159931659698,1504.2159931659698,0.0,0.13009700498089855,1504.2159931659698,1,frozen heading,1,0,1,0,0,1,
bas_meas_q060,1527.1125569343567,1527.513780117035,0.40122318267822266,0.23151478153241326,1527.513780117035,3,frozen heading,1,0,1,0,0,3,
bas_meas_q060,1529.5217070579529,1539.560940027237,10.039232969284058,0.7141492789662403,1529.5217070579529,50,gate hold in turn (re-anchored on frozen heading),1,0,1,1,0,51,
bas_meas_q060,1684.1628000736237,1684.1628000736237,0.0,0.12337014843145948,1684.1628000736237,1,injection,0,0,1,0,1,1,
bas_both_q060,989.5915169715881,989.9933190345764,0.40180206298828125,0.11492481706317534,989.9933190345764,3,"heading jump, gyro contradicts",0,0,1,0,0,3,
bas_both_q060,1313.8530700206757,1317.4704010486603,3.617331027984619,0.5203428424308345,1316.867558002472,19,frozen heading,1,1,1,0,0,19,reanchor_gyro;stale
bas_both_q060,1380.1236391067505,1380.1236391067505,0.0,0.10113136765613331,1380.1236391067505,1,other,0,0,0,0,0,0,
bas_both_q060,1430.9257810115814,1440.362725019455,9.436944007873535,0.7257235713582718,1433.5351221561432,47,frozen heading,1,1,1,0,0,48,
