run,n,med_a,p99_a,max_a,n_a,med_b,p99_b,max_b,n_b,tmax_b,med_c,p99_c,max_c,n_c,tmax_c,tmax_a
bas_stock_q060,9750,6.0535113575598866e-05,0.01696243188570459,0.5303332968200558,9750,6.216912414075178e-05,0.017022896101328972,0.5303332968200558,9668,1317.6709899902344,6.198386882967888e-05,0.01620408715223576,0.10363538486926292,9049,1684.3633279800415,1317.6709899902344
bas_gate_q060,9714,8.047670176676542e-05,0.03627854802010161,0.7295029897128601,9714,8.049844719012258e-05,0.026574064238976947,0.7295029897128601,9641,1535.1470401287079,7.648529271702134e-05,0.0171242015302095,0.12338611593287127,9059,1684.1628000736237,1535.1470401287079
bas_meas_q060,9748,0.000290035814429437,0.3134401030669212,0.725728522887888,9748,0.00029086938658042666,0.05798476657366048,0.725728522887888,9666,1433.5351221561432,0.0002824606167502448,0.01681350314945621,0.12337014843145948,9047,1684.1628000736237,1433.5351221561432
bas_both_q060,9741,0.0001983380951809974,0.49883330461404485,0.7310111806155908,9741,0.0001953458471540943,0.32381052585239684,0.7310111806155908,9659,1548.7941040992737,0.00018546292347317863,0.024025496876017356,0.7310111806155908,9040,1548.7941040992737,1548.7941040992737
bas_stock_q1e5,9757,0.0026022353851774937,0.08189477877398464,0.6856342684580455,9757,0.002565311871985598,0.06730527744065719,0.6856342684580455,9675,1431.5275189876556,0.00246765009634494,0.044439469401414224,0.12241221485207288,9056,558.5027360916138,1431.5275189876556
bas_gate_q1e5,9729,0.0026452502715641354,0.2148001743806303,0.7309737824054767,9729,0.0026205724564608893,0.09803610160308666,0.7309737824054767,9647,1535.7484800815582,0.0024979588662526584,0.044523981322153766,0.12806330175745836,9050,1684.1628000736237,1535.7484800815582
bas_meas_q1e5,9747,0.002293528722360406,0.267758401097878,0.7248351029648133,9747,0.002263569084382209,0.07487969734744584,0.7248351029648133,9665,1433.5351221561432,0.0021563159110342253,0.030717601804085084,0.12613144544079194,9046,1684.1628000736237,1433.5351221561432
bas_both_q1e5,9732,0.0026369169219246117,0.2888930893877677,0.731038463929879,9732,0.0026094070129050856,0.279713901391162,0.731038463929879,9650,1548.7941040992737,0.0025161323494739475,0.05349371053255349,0.731038463929879,9037,1548.7941040992737,1548.7941040992737
inj_stock_q060,9755,6.209669882232615e-05,0.06350216084271144,0.5201110729546145,9755,6.363175307993056e-05,0.06366517483843688,0.5201110729546145,9673,1530.5288081169128,6.371023338544226e-05,0.06370465383778344,0.5170434060240113,9054,138.30350995063782,1530.5288081169128
inj_gate_q060,9760,7.517313320421946e-05,0.2535416183607647,0.7310786874974535,9760,7.397972710709983e-05,0.066117444782277,0.7310786874974535,9679,1535.3475370407104,7.186793440734231e-05,0.023483180142311315,0.12337014843145948,9064,1684.1628000736237,1535.3475370407104
inj_meas_q060,9747,0.00021168372634733853,0.31346279322816,0.7257233685069024,9747,0.00021208488866540702,0.06685791473468865,0.7257233685069024,9665,1433.5351221561432,0.00020271130663804143,0.024981348805814523,0.12337014843145948,9046,1684.1628000736237,1433.5351221561432
inj_both_q060,9760,7.481310047409477e-05,0.4987575958291125,0.731011604652758,9760,7.418220048529377e-05,0.3198178989457379,0.731011604652758,9678,1548.7941040992737,7.102112364544406e-05,0.031716787082511265,0.731011604652758,9059,1548.7941040992737,1548.7941040992737
inj_stock_q1e5,9759,0.00275527439648398,0.13541462342198604,0.727798299289725,9759,0.002724320282211187,0.10787691496394794,0.727798299289725,9677,1431.5275189876556,0.0026283471661635574,0.0760517373870798,0.3244052321711071,9058,1754.6666359901428,1431.5275189876556
inj_gate_q1e5,9695,0.0030797852197515523,0.23053507531916,0.7310735733925207,9695,0.0030522512184162263,0.17517800722171512,0.7310735733925207,9616,1535.7484800815582,0.002913656031909473,0.09560734810152968,0.322653168881083,9020,1934.6334030628204,1535.7484800815582
inj_meas_q1e5,9747,0.002798589823408755,0.2575942581045447,0.7251913701644769,9747,0.0027619333808132362,0.09993566572620388,0.7251913701644769,9665,1433.5351221561432,0.002638254123637449,0.04773108885130094,0.13281185707609647,9046,1684.1628000736237,1433.5351221561432
inj_both_q1e5,9754,0.0026987056521653014,0.37035155946221215,0.731054946676484,9754,0.0026584223687724567,0.2763364585916806,0.731054946676484,9672,1548.994703054428,0.002567752519182393,0.055029780575787036,0.731054946676484,9053,1548.994703054428,1548.994703054428
inj_stock_q1e3,9762,0.0009667509650368976,0.08737157781377079,0.6541317577400179,9762,0.0009678795994963643,0.0871709698621648,0.6541317577400179,9680,1440.563266992569,0.0009547397550066046,0.06819098463661927,0.5168284269038232,9061,150.7478449344635,1440.563266992569
inj_gate_q1e3,9692,0.0009642916842624769,0.05495695566095311,0.7260284301492693,9692,0.0009585343129268259,0.04752968795766096,0.7129805024332581,9628,1529.5217070579529,0.0009351112232157425,0.03174736106970749,0.12904365671354504,9058,1862.7327530384064,1434.5387411117554
inj_meas_q1e3,9755,0.0009840635142644926,0.30855320916576234,0.7257091702610676,9755,0.0009814030773013182,0.0646903204357219,0.7257091702610676,9673,1433.5351221561432,0.0009445342255064593,0.024731324508401122,0.1148008964816794,9054,989.9933190345764,1433.5351221561432
inj_both_q1e3,9744,0.0010257150848827473,0.49910034524483043,0.7310560943306936,9744,0.0010203168624232139,0.32201384194580784,0.7310560943306936,9662,1548.7941040992737,0.0009900489887106254,0.03532046560311866,0.7310560943306936,9043,1548.7941040992737,1548.7941040992737
inj_stock_q1e4,9756,0.0018834057691765882,0.11416045936613485,0.6972353336598974,9756,0.0018688202159362808,0.09878581621171972,0.6972353336598974,9674,1436.3468251228333,0.0018203571078361962,0.08086918857184565,0.4848008497723736,9055,1934.6334030628204,1436.3468251228333
inj_gate_q1e4,9675,0.0018664921642728178,0.15248483241018526,0.7310644311549589,9675,0.0018550579553626733,0.12088661066894243,0.7310644311549296,9618,1431.5275189876556,0.0018172182034509323,0.06804971493957515,0.2766560646724458,9045,1687.3770599365234,1431.9293949604034
inj_meas_q1e4,9764,0.0017415558195813658,0.2855401018758301,0.7256800387884441,9764,0.001714594674862982,0.06760670319698715,0.7256800387884441,9682,1433.5351221561432,0.001661340422588327,0.030139630209962062,0.11434792152471686,9063,989.9933190345764,1433.5351221561432
inj_both_q1e4,9744,0.0017014001369622077,0.30964649179526277,0.7310648175950376,9744,0.0016823220263730754,0.2973954633817889,0.7310648175950376,9662,1548.994703054428,0.0016186772376873238,0.033641416580335454,0.7310648175950376,9045,1548.994703054428,1548.994703054428
