tag,n,n_accept,n_hold,n_nopub,state_mismatch,pub_mismatch,used_yaw_mismatch,max_used_yaw_diff_deg,n_reanchor,n_gap,max_buf
bas_both_q060,9848,9720,11,117,0,0,0,0.0,6,6,53
bas_both_q1e3,9860,9732,11,117,0,0,0,0.0,6,6,53
bas_both_q1e4,9853,9725,11,117,0,0,0,0.0,6,6,53
bas_both_q1e5,9864,9736,11,117,0,0,0,0.0,6,6,53
bas_meas_q060,9858,9730,11,117,0,0,0,0.0,6,6,53
bas_meas_q1e3,9851,9723,11,117,0,0,0,0.0,6,6,53
bas_meas_q1e4,9866,9738,11,117,0,0,0,0.0,6,6,53
bas_meas_q1e5,9856,9728,11,117,0,0,0,0.0,6,6,53
inj_both_q060,9864,9664,56,144,0,0,0,0.0,24,24,53
inj_both_q1e3,9850,9650,56,144,0,0,0,0.0,24,24,53
inj_both_q1e4,9864,9664,56,144,0,0,0,0.0,24,24,53
inj_both_q1e5,9860,9660,56,144,0,0,0,0.0,24,24,53
inj_meas_q060,9857,9657,56,144,0,0,0,0.0,24,24,53
inj_meas_q1e3,9864,9664,56,144,0,0,0,0.0,24,24,53
inj_meas_q1e4,9867,9667,56,144,0,0,0,0.0,24,24,53
inj_meas_q1e5,9854,9654,56,144,0,0,0,0.0,24,24,53
nat1_both_q060,547,496,3,48,0,0,0,0.0,1,1,52
nat1_meas_q060,545,494,3,48,0,0,0,0.0,1,1,52
nat1_meas_q1e4,544,493,3,48,0,0,0,0.0,1,1,52
nat2_both_q060,547,492,5,50,0,0,0,0.0,2,2,52
nat2_meas_q060,545,490,5,50,0,0,0,0.0,2,2,52
ver_meas_1x,600,600,0,0,0,0,0,0.0,0,0,2
ver_meas_6x_a,587,587,0,0,0,0,0,0.0,0,0,2
ver_meas_6x_b,598,598,0,0,0,0,0,0.0,0,0,2
