arm,family,q,event_id,amp_deg,dur,t_abs,jump_m,peak_m,peak_base_m,recovery_s,withheld,gate_warns,filt_step_deg,filt_exc_deg,meas_nopub,meas_hold
inj_both_q060,both,0.06,E00,5.0,1,1788913392.737,0.0317,0.0317,0.0017,0.361,0,0,5.361,5.357,0,0
inj_both_q060,both,0.06,E01,5.0,2,1788913404.737,0.0317,0.0319,0.0005,0.409,0,0,5.377,5.874,0,0
inj_both_q060,both,0.06,E02,5.0,5,1788913416.737,0.0251,0.0319,0.0036,1.063,0,0,4.269,5.444,0,0
inj_both_q060,both,0.06,E03,10.0,1,1788913428.737,0.0635,0.0635,0.0044,0.515,0,0,9.564,5.955,0,0
inj_both_q060,both,0.06,E04,10.0,2,1788913440.737,0.0559,0.0637,0.0002,0.564,0,0,10.019,9.956,0,0
inj_both_q060,both,0.06,E05,10.0,5,1788913452.737,0.0632,0.0691,0.0065,1.216,0,0,10.826,9.255,0,0
inj_both_q060,both,0.06,E06,20.0,1,1788913464.737,0.0018,0.0092,0.0005,1.068,0,0,4.351,5.48,0,1
inj_both_q060,both,0.06,E07,20.0,2,1788913476.737,0.0212,0.0366,0.0597,0.72,0,0,9.305,9.284,0,2
inj_both_q060,both,0.06,E08,20.0,5,1788913488.737,0.0413,0.0543,0.0004,1.172,0,0,9.319,32.968,3,3
inj_both_q060,both,0.06,E09,45.0,1,1788913500.737,-0.0006,0.0337,0.003,1.22,0,0,4.1,7.802,0,1
inj_both_q060,both,0.06,E10,45.0,2,1788913512.737,0.0101,0.0214,0.0023,0.47,0,0,3.298,5.503,0,2
inj_both_q060,both,0.06,E11,45.0,5,1788913524.737,0.0054,0.0135,0.0135,0.324,0,0,1.262,1.274,3,2
inj_both_q060,both,0.06,E12,90.0,1,1788913536.737,0.0074,0.0074,0.0002,0.375,0,0,1.695,1.831,0,1
inj_both_q060,both,0.06,E13,90.0,2,1788913548.737,0.0049,0.0068,0.0099,0.425,0,0,1.548,1.713,0,2
inj_both_q060,both,0.06,E14,90.0,5,1788913560.737,0.0019,0.0065,0.0,0.478,0,0,0.583,0.611,3,2
inj_both_q060,both,0.06,E15,5.0,1,1788913572.737,0.0317,0.0317,0.0032,0.333,0,0,5.074,4.691,0,0
inj_both_q060,both,0.06,E16,5.0,2,1788913584.737,0.0317,0.0317,0.0,0.585,0,0,4.552,4.884,0,0
inj_both_q060,both,0.06,E17,5.0,5,1788913596.737,0.0317,0.0319,0.0031,1.034,0,0,5.304,5.298,0,0
inj_both_q060,both,0.06,E18,10.0,1,1788913608.737,0.0633,0.0633,0.0,0.286,0,0,9.883,9.614,0,0
inj_both_q060,both,0.06,E19,10.0,2,1788913620.737,0.063,0.0637,0.0051,0.542,0,0,10.081,9.903,0,0
inj_both_q060,both,0.06,E20,10.0,5,1788913632.737,0.0633,0.0637,0.0011,1.194,0,0,11.226,10.027,0,0
inj_both_q060,both,0.06,E21,20.0,1,1788913644.737,0.0027,0.0028,0.0041,0.237,0,0,0.632,0.612,0,1
inj_both_q060,both,0.06,E22,20.0,2,1788913656.737,0.002,0.0036,0.0009,0.289,0,0,0.841,0.782,0,2
inj_both_q060,both,0.06,E23,20.0,5,1788913668.737,0.002,0.0081,0.0096,0.545,0,0,1.509,1.193,3,2
inj_both_q060,both,0.06,E24,45.0,1,1788913680.737,-0.0008,0.0004,0.0011,0.392,0,0,1.415,1.186,0,1
inj_both_q060,both,0.06,E25,45.0,2,1788913692.737,0.006,0.006,0.0139,0.24,0,0,2.131,1.152,0,2
inj_both_q060,both,0.06,E26,45.0,5,1788913704.737,-0.0001,0.0136,0.0034,1.097,0,0,1.202,1.176,3,2
inj_both_q060,both,0.06,E27,90.0,1,1788913716.737,0.0016,0.0017,0.0065,0.345,0,0,1.279,1.275,0,1
inj_both_q060,both,0.06,E28,90.0,2,1788913728.737,0.0022,0.0036,0.0013,0.598,0,0,2.949,2.464,0,2
inj_both_q060,both,0.06,E29,90.0,5,1788913740.737,0.0053,0.0065,0.0053,0.446,0,0,0.753,0.764,3,2
inj_both_q060,both,0.06,E30,5.0,1,1788913752.737,0.0317,0.0318,0.0025,0.298,0,0,4.589,4.732,0,0
inj_both_q060,both,0.06,E31,5.0,2,1788913764.737,0.0225,0.0319,0.0139,0.553,0,0,3.552,4.618,0,0
inj_both_q060,both,0.06,E32,5.0,5,1788912802.737,0.0317,0.0319,0.0069,1.037,0,0,4.754,6.051,0,0
inj_both_q060,both,0.06,E33,10.0,1,1788912814.737,0.0634,0.0634,0.0,0.284,0,0,10.738,10.036,0,0
inj_both_q060,both,0.06,E34,10.0,2,1788912826.737,0.0633,0.0637,0.0181,0.533,0,0,10.155,10.162,0,0
inj_both_q060,both,0.06,E35,10.0,5,1788912838.737,0.0633,0.0638,0.0,1.179,0,0,10.334,10.166,0,0
inj_both_q060,both,0.06,E36,20.0,1,1788912850.737,-0.0007,0.0005,0.001,1.829,0,0,0.141,0.166,0,1
inj_both_q060,both,0.06,E37,20.0,2,1788912862.737,0.0002,0.0008,0.0001,0.474,0,0,0.491,0.333,0,2
inj_both_q060,both,0.06,E38,20.0,5,1788912874.737,-0.0002,0.0014,0.0021,1.729,0,0,0.321,0.282,3,2
inj_both_q060,both,0.06,E39,45.0,1,1788912886.737,0.001,0.001,0.0005,0.366,0,0,0.564,0.494,0,1
inj_both_q060,both,0.06,E40,45.0,2,1788911908.737,0.0,0.0026,0.0,0.982,0,0,0.264,0.309,0,2
inj_both_q060,both,0.06,E41,45.0,5,1788911920.737,0.0018,0.0021,0.0015,0.22,0,0,0.114,0.183,3,2
inj_both_q060,both,0.06,E42,90.0,1,1788911932.737,0.0014,0.0016,0.0011,0.267,0,0,0.351,0.362,0,1
inj_both_q060,both,0.06,E43,90.0,2,1788911944.737,-0.001,0.002,0.0011,1.519,0,0,0.236,0.171,0,2
inj_both_q060,both,0.06,E44,90.0,5,1788911956.737,0.0011,0.0031,0.0018,0.961,0,0,0.315,0.339,3,2
inj_both_q060,both,0.06,_RUN_,,,,,0.0001,0.0002,0.3353,0,4,,,92,9
inj_both_q1e3,both,0.001,E00,5.0,1,1788913392.737,0.0024,0.0232,0.0019,0.562,0,0,4.176,4.198,0,0
inj_both_q1e3,both,0.001,E01,5.0,2,1788913404.737,0.0186,0.03,0.0224,0.409,0,0,3.64,5.517,0,0
inj_both_q1e3,both,0.001,E02,5.0,5,1788913416.737,0.0005,0.0323,0.0066,1.264,0,0,3.365,5.427,0,0
inj_both_q1e3,both,0.001,E03,10.0,1,1788913428.737,0.0543,0.0549,0.0246,0.315,0,0,6.394,4.607,0,0
inj_both_q1e3,both,0.001,E04,10.0,2,1788913440.737,-0.0041,0.061,0.0022,0.764,0,0,7.405,8.962,0,0
inj_both_q1e3,both,0.001,E05,10.0,5,1788913452.737,0.0317,0.0643,0.0063,1.216,0,0,6.666,8.753,0,0
inj_both_q1e3,both,0.001,E06,20.0,1,1788913464.737,-0.0075,0.0356,0.0081,1.068,0,0,4.383,4.989,0,1
inj_both_q1e3,both,0.001,E07,20.0,2,1788913476.737,0.0318,0.0358,0.0562,0.52,0,0,6.816,7.026,0,2
inj_both_q1e3,both,0.001,E08,20.0,5,1788913488.737,-0.0015,0.0549,0.0415,1.172,0,0,7.388,30.254,3,3
inj_both_q1e3,both,0.001,E09,45.0,1,1788913500.737,0.0049,0.008,0.0349,1.22,0,0,4.26,7.839,0,1
