bag,n_frames,duration_s,odom_hz,fixed_frames,hdok_false_frames,has_fix,fix_origin,imu_topic,imu_hz,dpsi_med,dpsi_p90,dpsi_p99,dpsi_max,n_straight,straight_p99,straight_max,straight_med,n_turn,turn_p99,turn_max,turn_med,n_slow,slow_p99,slow_max,slow_med,n_na,na_p99,na_max,na_med,n_imu_straight,imu_straight_p99,imu_straight_max,n_imu_turn,imu_turn_p99,imu_turn_max,n_gt5,n_gt10,n_gt20,n_gt45,max_dp_pub,max_dp_ant,max_dp_fix,gyro_p99_deg_frame,gyro_max_deg_frame,runtime_s,gyro_p99_deg_frame_filt,gyro_max_deg_frame_filt,gyro_bad_samples,pstep_5cm,pstep_10cm,pstep_20cm,pstep_30cm
concrete_20260826_2026-08-26-17-52-24.bag,9586,1917.0,5.00,9586,0,0,,/ch110/data_raw,85.0,0.1661,0.4909,3.6667,32.4422,1086,1.6758,10.2601,0.2108,405,13.1348,14.2672,1.8810,8080,1.0478,32.4422,0.1537,14,0.4529,0.4781,0.1300,7681,1.1642,32.4422,448,12.9918,14.2672,85,49,2,0,0.3140,0.3143,0.0000,6.9878,13.9318,6.3,6.9877,13.9320,0,2,1,1,0
demo_0824_2026-08-24-18-39-18.bag,1689,337.4,5.01,1689,0,0,,,0.0,0.1863,0.8850,2.8981,4.2924,1040,0.7082,0.9848,0.1833,196,3.6183,4.2924,1.9520,438,0.7785,1.2751,0.1225,14,0.3125,0.3272,0.1178,0,nan,nan,0,nan,nan,0,0,0,0,0.0919,0.0992,0.0000,,,0.5,,,0,0,0,0,0
fixed_0824_2026-08-24-17-36-06.bag,9026,1805.1,5.00,9026,0,0,,,0.0,0.2579,1.6135,9.0426,13.8241,4189,0.9083,12.6699,0.2038,2184,11.5288,13.8241,1.2177,2638,8.6106,12.7870,0.1876,14,0.3965,0.4164,0.1423,0,nan,nan,0,nan,nan,195,79,0,0,0.3044,0.3093,0.0000,,,2.9,,,0,0,0,0,0
fusion_20260825_132239_2026-08-25-13-22-39.bag,774,154.7,5.00,774,0,0,,/ch110/data_raw,100.1,0.1902,10.5406,12.6144,13.5952,147,1.5533,1.6722,0.2487,41,13.5402,13.5952,3.1177,571,12.3737,13.2107,0.1671,14,0.2176,0.2222,0.0984,600,1.3405,2.6860,159,13.3144,13.5952,95,86,0,0,0.3063,0.3093,0.0000,12.7716,13.2286,1.5,12.7719,13.2284,0,0,0,0,0
newfield_20260826_2026-08-26-16-36-00.bag,14931,2986.0,5.00,14931,0,0,,/ch110/data_raw,90.4,0.1966,0.7188,5.5274,14.3077,2456,2.1367,8.9683,0.3342,443,12.5647,14.3077,1.2346,12017,4.7220,13.8422,0.1733,14,0.3382,0.3483,0.1041,12708,1.8408,10.5448,767,12.8668,14.3077,191,55,0,0,0.3288,0.3321,0.0000,6.8809,16.6587,10.4,6.8813,16.6582,0,0,0,0,0
orchard3src_20260826_2026-08-26-10-02-59.bag,4200,839.8,5.00,4200,0,0,,/ch110/data_raw,100.0,1.1429,4.5554,12.0018,15.5060,2068,6.1253,12.9156,1.0148,1731,12.5761,15.5060,1.6227,386,14.0879,14.6122,0.4903,14,2.4712,2.5278,0.9236,2320,5.8762,11.8265,1864,12.8888,15.5060,376,105,0,0,0.3379,0.3456,0.0000,12.7019,15.6491,3.5,12.7021,15.6486,0,1,0,0,0
orchard_20260826_2026-08-26-08-31-44.bag,4293,858.5,5.00,4293,0,0,,/ch110/data_raw,100.0,1.1125,4.4951,11.9668,15.5060,2065,6.1255,12.9156,1.0146,1733,12.5713,15.5060,1.6227,480,13.7568,14.6122,0.4072,14,2.4712,2.5278,0.9236,2420,5.6097,11.8265,1858,12.8913,15.5060,376,105,0,0,0.3379,0.3456,0.0000,12.6692,15.6491,8.2,12.6693,15.6486,0,1,0,0,0
quad_20260825_2026-08-25-17-03-46.bag,1932,386.8,4.99,1932,0,0,,/ch110/data_raw,99.8,0.3575,1.1858,12.3027,14.6175,313,1.5685,1.8278,0.3349,0,nan,nan,nan,1604,12.3481,14.6175,0.3709,14,0.7916,0.8231,0.2284,1827,1.7726,3.3570,88,13.4558,14.6175,59,58,0,0,0.3103,0.3134,0.0000,12.4616,13.6537,3.7,12.4615,13.6536,0,0,0,0,0
r03_0824_2026-08-24-19-13-50.bag,1313,262.5,5.00,1313,0,0,,,0.0,0.1957,0.6141,3.0349,3.9717,1,0.1709,0.1709,0.1709,1,1.4431,1.4431,1.4431,1296,3.0475,3.9717,0.1955,14,0.4279,0.4318,0.2380,0,nan,nan,0,nan,nan,0,0,0,0,0.0429,0.0559,0.0000,,,0.4,,,0,0,0,0,0
repeat5_0819_2026-08-19-17-48-18.bag,3270,653.6,5.00,3085,0,0,,,0.0,0.2458,0.6996,2.3534,12.9276,991,2.3714,9.1625,0.3186,235,9.5297,12.9276,0.4913,2029,1.5891,2.3525,0.2034,14,0.6325,0.6496,0.2747,0,nan,nan,0,nan,nan,10,1,0,0,0.5796,0.5789,0.0000,,,1.1,,,0,0,0,0,0
