q_yaw,q_over_q0,sigma_deg,k_sigma,subset,false_gate_pct,genuine_frames,genuine_rejected,rejected,rejected_pct_all_frames,withheld,onsets_rejected,onsets,residual_episodes_010,residual_frames_010,residual_episodes_005,note
4e-08,0.01,0.74,3.0,all,23.0412,321238,74017,97905,26.8381,0,14,21,0,0,10,"q sweep, grid"
4e-08,0.01,0.74,3.0,operational,21.4233,304412,65215,88520,25.4916,0,10,15,0,0,10,"q sweep, grid"
4e-08,0.01,0.74,5.0,all,16.3399,321238,52490,71375,19.5656,0,15,21,0,0,10,"q sweep, grid"
4e-08,0.01,0.74,5.0,operational,14.7796,304412,44991,63324,18.2357,0,10,15,0,0,10,"q sweep, grid"
4e-08,0.01,1.09,3.0,all,17.6352,321238,56651,77745,21.3117,0,14,21,0,0,10,"q sweep, grid"
4e-08,0.01,1.09,3.0,operational,16.1028,304412,49019,69570,20.0344,0,10,15,0,0,10,"q sweep, grid"
4e-08,0.01,1.09,5.0,all,13.9591,321238,44842,62018,17.0006,0,15,21,0,0,10,"q sweep, grid"
4e-08,0.01,1.09,5.0,operational,12.6109,304412,38389,55058,15.8553,0,10,15,0,0,10,"q sweep, grid"
4e-07,0.1,0.74,3.0,all,21.2892,321238,68389,89295,24.4779,0,14,21,0,0,10,"q sweep, grid"
4e-07,0.1,0.74,3.0,operational,20.038,304412,60998,81327,23.4202,0,9,15,0,0,10,"q sweep, grid"
4e-07,0.1,0.74,5.0,all,13.9159,321238,44703,63025,17.2766,0,14,21,0,0,10,"q sweep, grid"
4e-07,0.1,0.74,5.0,operational,12.4345,304412,37852,55641,16.0232,0,9,15,0,0,10,"q sweep, grid"
4e-07,0.1,1.09,3.0,all,15.8303,321238,50853,69907,19.1632,0,14,21,0,0,10,"q sweep, grid"
4e-07,0.1,1.09,3.0,operational,14.3914,304412,43809,62318,17.946,0,9,15,0,0,10,"q sweep, grid"
4e-07,0.1,1.09,5.0,all,11.54,321238,37071,53613,14.6966,0,13,21,0,0,10,"q sweep, grid"
4e-07,0.1,1.09,5.0,operational,10.0824,304412,30692,46737,13.4591,0,8,15,0,0,10,"q sweep, grid"
4e-06,1.0,0.74,3.0,all,16.7496,321238,53806,74521,20.428,0,13,21,0,0,10,"q sweep, grid"
4e-06,1.0,0.74,3.0,operational,15.188,304412,46234,66385,19.1172,0,9,15,0,0,10,"q sweep, grid"
4e-06,1.0,0.74,5.0,all,12.0683,321238,38768,56779,15.5645,0,14,21,0,0,11,"q sweep, grid"
4e-06,1.0,0.74,5.0,operational,11.173,304412,34012,51498,14.8302,0,10,15,0,0,10,"q sweep, grid"
4e-06,1.0,1.09,3.0,all,13.584,321238,43637,62271,17.0699,0,14,21,0,0,9,"q sweep, grid"
4e-06,1.0,1.09,3.0,operational,12.6956,304412,38647,56743,16.3406,0,9,15,0,0,9,"q sweep, grid"
4e-06,1.0,1.09,5.0,all,11.5419,321238,37077,53250,14.5971,0,13,21,0,0,10,"q sweep, grid"
4e-06,1.0,1.09,5.0,operational,9.4405,304412,28738,44406,12.7878,0,9,15,0,0,9,"q sweep, grid"
3.9999999999999996e-05,10.0,0.74,3.0,all,13.1261,321238,42166,61421,16.8369,0,13,21,2,2,17,"q sweep, grid"
