sigma_deg,k_sigma,q_yaw,q_over_q0,rejected_s,rejected_frames,heading_err_deg,position_err_m,note
0.74,3.0,4e-08,0.01,211.55,1058,11.67,0.0743,
0.74,5.0,4e-08,0.01,210.55,1053,12.91,0.0822,
1.09,3.0,4e-08,0.01,211.55,1058,11.67,0.0743,
1.09,5.0,4e-08,0.01,208.74,1043,14.79,0.0941,
0.74,3.0,4e-07,0.1,211.55,1058,11.67,0.0743,
0.74,5.0,4e-07,0.1,209.74,1048,14.05,0.0894,
1.09,3.0,4e-07,0.1,210.55,1053,12.91,0.0822,
1.09,5.0,4e-07,0.1,207.73,1038,16.15,0.1027,
0.74,3.0,4e-06,1.0,208.74,1043,14.79,0.0941,
0.74,5.0,4e-06,1.0,205.73,1028,19.07,0.1211,
1.09,3.0,4e-06,1.0,208.74,1043,14.79,0.0941,
1.09,5.0,4e-06,1.0,205.73,1028,19.07,0.1211,
0.74,3.0,3.9999999999999996e-05,10.0,202.71,1013,24.64,0.156,
0.74,5.0,3.9999999999999996e-05,10.0,193.47,967,38.44,0.2407,
1.09,3.0,3.9999999999999996e-05,10.0,201.91,1009,26.26,0.1661,
1.09,5.0,3.9999999999999996e-05,10.0,193.67,968,37.75,0.2365,
0.74,3.0,0.00039999999999999996,100.0,163.74,818,56.84,0.348,
0.74,5.0,0.00039999999999999996,100.0,26.92,134,37.92,0.2375,
1.09,3.0,0.00039999999999999996,100.0,165.35,826,54.44,0.3344,
1.09,5.0,0.00039999999999999996,100.0,26.12,130,38.17,0.239,
0.74,3.0,0.004,1000.0000000000001,14.46,72,42.05,0.2623,
0.74,5.0,0.004,1000.0000000000001,7.43,37,49.9,0.3084,
1.09,3.0,0.004,1000.0000000000001,14.46,72,42.05,0.2623,
1.09,5.0,0.004,1000.0000000000001,7.43,37,49.9,0.3084,
0.74,3.0,0.1540825122065306,38520.62805163265,0.8,4,67.1,0.404,matched availability
0.74,5.0,0.055310433415918854,13827.608353979715,0.8,4,67.1,0.404,matched availability
