rule,bag,wall,dpsi_deg,dp_pub,vs_anchor_deg,budget_deg
v3a,concrete_20260826_2026-08-26-17-52-24,2026-08-26 18:22:45.503,-32.44,0.2124,11.4,17.0
v3a,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:04.967,-59.08,0.3632,9.47,18.22
v3a,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:13.598,-17.41,0.1067,14.07,17.94
v3a,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:14.602,-16.68,0.1109,16.68,17.0
v3a,run_20260906_2026-09-06-15-26-15,2026-09-06 15:34:44.330,25.69,0.1708,3.2,17.12
v3a,run_20260906_2026-09-06-15-26-15,2026-09-06 15:51:41.653,44.48,0.2757,10.08,17.83
v3a,run_20260906_2026-09-06-15-26-15,2026-09-06 16:18:20.491,-16.6,0.1096,16.6,17.0
v3a,run_20260906_2026-09-06-15-26-15,2026-09-06 16:22:48.482,-19.16,0.1178,14.32,17.41
v3a,run_20260907_2026-09-07-13-15-11,2026-09-07 13:57:38.656,22.1,0.149,2.69,17.07
v3a,run_20260907_2026-09-07-13-15-11,2026-09-07 13:57:42.469,-22.4,0.1403,0.13,17.25
v3a,run_20260907_2026-09-07-14-19-47,2026-09-07 14:25:43.636,-52.55,0.3248,11.88,18.33
v3b,concrete_20260826_2026-08-26-17-52-24,2026-08-26 18:22:45.503,-32.44,0.2124,11.4,17.0
v3b,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:14.602,-16.68,0.1109,16.68,17.0
v3b,run_20260906_2026-09-06-15-26-15,2026-09-06 15:34:46.941,-79.9,0.4686,10.74,17.0
v3b,run_20260906_2026-09-06-15-26-15,2026-09-06 15:57:31.421,29.66,0.1838,11.93,17.0
v3b,run_20260906_2026-09-06-15-26-15,2026-09-06 16:18:20.491,-16.6,0.1096,16.6,17.0
