variant,gate_deg,max_yaw_rate,yaw_gate_margin,nominal_dt,max_hold_frames,max_gap_frames,gyro_drift_rate,held,unpublished,unpublished_pct,not_accepted,not_accepted_pct,genuine_not_accepted,genuine_unpublished,outlier_not_accepted,false_gate_pct,max_consecutive_not_accepted,max_consecutive_genuine_not_accepted,hold_err_max_m,hold_err_rms_m,hold_err_frames,reanchors,fallback_b_frames,gaps,episodes,episodes_outlier_triggered,genuine_in_outlier_episodes,genuine_in_genuine_episodes,false_gate_attributed_pct,pstep_caught,pstep_missed,pstep_caught_pct,pstep_missed_dpsi,false_gate_pct_straight,genuine_straight,false_gate_pct_turn,genuine_turn,false_gate_pct_slow,genuine_slow,false_gate_pct_na,genuine_na,event1_caught,event2_caught,residual_frames_0.05,residual_episodes_0.05,residual_frames_0.10,residual_episodes_0.10,residual_frames_0.20,residual_episodes_0.20,residual_frames_0.30,residual_episodes_0.30,residual_frames_0.50,residual_episodes_0.50
v3a,2.000000,0.087266,0.017453,0.200000,5,3,0.002000,20581,70659,19.369297,91240,25.011033,80413,63365,8282,25.032219,6173,154,0.169548,0.044185,17048,9694,1026,9701,10700,2175,39948,40465,12.596579,31,5,86.111111,65.0;52.6;33.3;32.4;25.4,17.067345,135645,61.310822,26594,25.766736,158953,0.000000,46,1,1,199,183,4,3,0,0,0,0,0,0
v3b,2.000000,0.087266,0.017453,0.200000,5,3,0.002000,13277,31308,8.582260,44585,12.221799,34667,26730,8302,10.791687,307,41,0.153700,0.035837,7937,5756,0,5756,7487,3714,6938,27729,8.631918,36,0,100.000000,,2.833868,135645,52.714898,26594,10.571678,158953,0.000000,46,1,1,74,53,25,21,12,10,8,7,2,1
v3a,3.000000,0.130900,0.026180,0.200000,5,3,0.002000,19112,54782,15.017037,73894,20.256086,64975,48277,7226,20.226436,5776,116,0.169715,0.049018,16698,9214,492,9222,9727,1487,36868,28107,8.749588,31,5,86.111111,52.6;32.4;22.4;18.0;17.4,10.721368,135645,48.221403,26594,23.659824,158953,0.000000,46,1,1,276,256,9,9,0,0,0,0,0,0
v3b,3.000000,0.130900,0.026180,0.200000,5,3,0.002000,9554,25148,6.893659,34702,9.512636,28129,22186,5740,8.756436,306,56,0.169715,0.043999,5943,4251,0,4251,5292,2544,3533,24596,7.656628,36,0,100.000000,,1.658742,135645,42.893134,26594,9.104578,158953,0.000000,46,1,1,82,62,29,25,13,10,9,7,2,1
v3a,4.000000,0.174533,0.034907,0.200000,5,3,0.002000,16749,44577,12.219606,61326,16.810901,53545,38580,6369,16.668327,5775,18,0.169715,0.052801,14965,8130,309,8138,8471,1108,30343,23202,7.222682,29,7,80.555556,52.6;44.5;32.4;25.4;22.4;18.0;17.4,8.146264,135645,37.865684,26594,20.399112,158953,0.000000,46,1,1,241,227,6,6,0,0,0,0,0,0
v3b,4.000000,0.174533,0.034907,0.200000,5,3,0.002000,8106,19991,5.480004,28097,7.702050,23396,17843,4158,7.283074,108,39,0.169715,0.049502,5553,3702,0,3702,4388,1789,2493,20903,6.507013,36,0,100.000000,,1.056434,135645,35.395202,26594,7.895416,158953,0.000000,46,1,1,86,66,28,23,14,10,9,7,1,1
v3a,5.000000,0.218166,0.043633,0.200000,5,3,0.002000,10395,41632,11.412312,52027,14.261826,45154,36102,5526,14.056245,5775,5,0.169715,0.058399,9052,5061,252,5069,5273,794,29543,15611,4.859637,29,7,80.555556,52.6;33.3;32.4;22.4;18.5;18.0;17.4,5.926499,135645,25.242536,26594,19.126408,158953,0.000000,46,1,1,184,183,7,7,0,0,0,0,0,0
v3b,5.000000,0.218166,0.043633,0.200000,5,3,0.002000,9198,7934,2.174896,17132,4.696285,13777,6602,2925,4.288721,32,27,0.169715,0.052510,7175,4382,0,4382,4803,1325,1557,12220,3.804033,36,0,100.000000,,0.471820,135645,23.422577,26594,4.345939,158953,0.000000,46,1,1,101,78,32,26,14,10,9,7,1,1
v3a,6.000000,0.273599,0.050000,0.200000,5,3,0.002000,3446,39694,10.881061,43140,11.825690,37322,34825,4566,11.618177,6726,4,0.169715,0.079433,2497,1646,212,1651,1782,543,29481,7841,2.440869,28,8,77.777778,52.6;44.5;33.3;32.4;25.4;22.4;18.0;17.4,5.184858,135645,14.465669,26594,16.635106,158953,0.000000,46,1,1,63,62,8,8,0,0,0,0,0,0
v3b,6.000000,0.273599,0.050000,0.200000,5,3,0.002000,2949,3398,0.931472,6347,1.739862,4076,2505,1900,1.268841,32,18,0.169715,0.069274,1571,1338,0,1338,1630,894,981,3095,0.963460,36,0,100.000000,,0.185042,135645,11.228097,26594,0.527829,158953,0.000000,46,1,1,81,58,32,25,14,10,9,7,1,1
v3a,7.000000,0.360865,0.050000,0.200000,5,3,0.002000,2727,36671,10.052385,39398,10.799920,33918,31947,4265,10.558527,6691,2,0.169715,0.084611,1971,1309,180,1314,1409,398,26501,7417,2.308880,30,6,83.333333,44.5;32.4;25.4;22.4;18.0;17.4,3.346235,135645,12.198240,26594,16.441967,158953,0.000000,46,1,1,44,43,10,10,0,0,0,0,0,0
