gate_deg,max_yaw_rate,yaw_gate_margin,max_hold_frames,rejected,rejected_pct,genuine_rejected,outlier_rejected,false_gate_pct,heading_invalid,max_consecutive_rejections,max_consecutive_genuine_rejections,episodes,episodes_outlier_triggered,genuine_in_outlier_episodes,genuine_in_genuine_episodes,false_gate_attributed_pct,pstep_caught,pstep_missed,pstep_caught_pct,false_gate_pct_straight,genuine_straight,false_gate_pct_turn,genuine_turn,false_gate_pct_slow,genuine_slow,false_gate_pct_na,genuine_na,event1_caught,event2_caught,residual_frames_0.05,residual_episodes_0.05,residual_frames_0.10,residual_episodes_0.10,residual_frames_0.20,residual_episodes_0.20,residual_frames_0.30,residual_episodes_0.30,residual_frames_0.50,residual_episodes_0.50
2.000000,0.087266,0.017453,5,142657,39.105644,128827,8636,40.103288,132247,179,179,4114,2690,24225,104602,32.562150,26,10,72.222222,46.914372,135645,92.923216,26594,25.465389,158953,0.000000,46,1,1,34,32,19,18,12,12,3,3,0,0
3.000000,0.130900,0.026180,5,95444,26.163449,85785,6696,26.704499,86316,119,119,3227,1988,11301,74484,23.186547,28,8,77.777778,20.931844,135645,85.805069,26594,21.750455,158953,0.000000,46,1,1,42,39,19,19,12,12,2,2,1,1
4.000000,0.174533,0.034907,5,69157,18.957563,62532,5219,19.465941,59999,89,89,2813,1482,7828,54704,17.029119,28,8,77.777778,9.072948,135645,71.392043,26594,19.652979,158953,0.000000,46,1,1,67,57,22,21,16,16,8,8,1,1
5.000000,0.218166,0.043633,5,49333,13.523338,44081,4190,13.722225,40577,71,70,2428,1114,5660,38421,11.960291,30,6,83.333333,2.609016,135645,56.268331,26594,16.091549,158953,0.000000,46,1,1,92,77,39,37,13,13,8,8,2,2
6.000000,0.273599,0.050000,5,18333,5.025507,14339,3138,4.463669,14030,57,56,1391,939,4358,9981,3.107042,29,7,80.555556,0.528586,135645,35.004136,26594,2.713381,158953,0.000000,46,1,1,88,72,30,25,12,12,7,7,2,2
7.000000,0.360865,0.050000,5,11798,3.234110,8823,2313,2.746562,7724,43,42,1329,874,2525,6298,1.960540,28,8,77.777778,0.229275,135645,25.325261,26594,1.117941,158953,0.000000,46,1,1,105,84,47,42,13,13,7,7,2,2
8.000000,0.448132,0.050000,5,7694,2.109107,5397,1799,1.680063,4011,34,33,1231,804,1357,4040,1.257635,27,9,75.000000,0.156290,135645,16.481161,26594,0.504552,158953,0.000000,46,1,0,123,100,65,59,15,14,7,7,2,2
9.000000,0.535398,0.050000,5,4780,1.310311,2939,1461,0.914898,1986,28,28,1082,761,771,2168,0.674889,28,8,77.777778,0.115743,135645,8.941867,26594,0.254163,158953,0.000000,46,1,0,119,90,59,52,21,21,6,6,1,1
10.000000,0.622665,0.050000,5,2868,0.786186,1405,1161,0.437370,1025,25,24,885,712,536,869,0.270516,30,6,83.333333,0.092890,135645,4.023464,26594,0.131485,158953,0.000000,46,1,0,109,76,47,41,15,15,8,8,1,1
11.000000,0.709931,0.050000,5,2176,0.596493,983,996,0.306004,675,21,20,797,663,346,637,0.198295,30,6,83.333333,0.082568,135645,2.737460,26594,0.089964,158953,0.000000,46,1,0,117,80,54,47,23,23,12,12,1,1
12.000000,0.797198,0.050000,5,1735,0.475604,746,888,0.232227,454,19,18,732,631,261,485,0.150978,31,5,86.111111,0.067087,135645,2.045574,26594,0.069832,158953,0.000000,46,1,0,111,71,49,38,23,21,13,12,1,1
13.000000,0.884464,0.050000,5,1209,0.331415,365,786,0.113623,195,17,16,660,610,216,149,0.046383,33,3,91.666667,0.058240,135645,0.842295,26594,0.039005,158953,0.000000,46,1,0,103,66,43,33,18,17,11,11,1,1
14.000000,0.971730,0.050000,5,945,0.259047,200,700,0.062259,107,16,6,602,578,165,35,0.010895,32,4,88.888889,0.047919,135645,0.342182,26594,0.027681,158953,0.000000,46,1,0,97,59,35,27,13,13,10,10,1,1
15.000000,1.058997,0.050000,5,829,0.227248,135,656,0.042025,74,14,1,575,558,128,7,0.002179,32,4,88.888889,0.040547,135645,0.172971,26594,0.021390,158953,0.000000,46,1,0,94,58,32,27,12,11,9,8,2,2
