gate_deg,max_yaw_rate,yaw_gate_margin,max_hold_frames,nominal_dt,held,unpublished,unpublished_pct,not_accepted,not_accepted_pct,genuine_not_accepted,outlier_not_accepted,false_gate_pct,genuine_unpublished,max_consecutive_not_accepted,max_consecutive_genuine_not_accepted,episodes,episodes_outlier_triggered,genuine_in_outlier_episodes,genuine_in_genuine_episodes,false_gate_attributed_pct,hold_err_max_m,hold_err_rms_m,hold_err_frames,pstep_caught,pstep_missed,pstep_caught_pct,false_gate_pct_straight,genuine_straight,false_gate_pct_turn,genuine_turn,false_gate_pct_slow,genuine_slow,false_gate_pct_na,genuine_na,event1_caught,event2_caught,residual_frames_0.05,residual_episodes_0.05,residual_frames_0.10,residual_episodes_0.10,residual_frames_0.20,residual_episodes_0.20,residual_frames_0.30,residual_episodes_0.30,residual_frames_0.50,residual_episodes_0.50
2.000000,0.087266,0.017453,5,0.200000,19571,25863,7.089658,45434,12.454530,35920,7666,11.181741,23006,307,41,7670,3961,6233,29687,9.241435,0.304178,0.067201,12914,32,4,88.888889,2.699694,135645,58.182297,26594,10.559725,158953,0.000000,46,1,1,95,80,34,29,13,11,5,5,2,2
3.000000,0.130900,0.026180,5,0.200000,14550,21105,5.785378,35655,9.773875,29209,5477,9.092635,19172,306,56,5349,2713,3363,25846,8.045748,0.313633,0.078519,10037,31,5,86.111111,1.537101,135645,47.830338,26594,9.061798,158953,0.000000,46,1,1,156,146,36,33,14,12,6,6,1,1
4.000000,0.174533,0.034907,5,0.200000,12588,16464,4.513170,29052,7.963838,24363,4110,7.584097,15061,108,39,4272,1933,2655,21708,6.757607,0.313633,0.087002,9302,31,5,86.111111,0.959858,135645,37.824321,26594,8.179776,158953,0.000000,46,1,1,171,160,34,33,12,11,6,6,1,1
5.000000,0.218166,0.043633,5,0.200000,12840,7621,2.089096,20461,5.608842,16919,3078,5.266812,6687,32,24,3957,1441,1873,15046,4.683755,0.313633,0.091917,10232,29,7,80.555556,0.426112,135645,27.085057,26594,5.748869,158953,0.000000,46,1,1,185,171,49,48,13,12,6,6,1,1
6.000000,0.273599,0.050000,5,0.200000,5015,2730,0.748357,7745,2.123087,5072,2268,1.578892,2119,32,18,1796,1125,1475,3597,1.119731,0.344281,0.116909,2953,29,7,80.555556,0.168086,135645,13.600812,26594,0.771926,158953,0.000000,46,1,1,108,94,33,30,12,11,6,6,1,1
7.000000,0.360865,0.050000,5,0.200000,4018,2012,0.551537,6030,1.652965,3919,1764,1.219968,1538,32,17,1503,966,1134,2785,0.866958,0.344281,0.123454,2381,28,8,77.777778,0.126802,135645,10.927277,26594,0.529087,158953,0.000000,46,1,1,109,91,46,43,12,11,6,6,1,1
8.000000,0.448132,0.050000,5,0.200000,3416,1405,0.385144,4821,1.321550,3052,1471,0.950074,1047,32,15,1311,852,892,2160,0.672399,0.344281,0.127384,2005,29,7,80.555556,0.097313,135645,8.558321,26594,0.405151,158953,0.000000,46,1,1,128,105,65,60,12,11,6,6,1,1
9.000000,0.535398,0.050000,5,0.200000,2561,929,0.254661,3490,0.956691,1962,1269,0.610762,645,32,30,1123,783,527,1435,0.446709,0.313633,0.134076,1317,30,6,83.333333,0.074459,135645,5.644130,26594,0.226482,158953,0.000000,46,1,1,117,88,51,45,11,11,6,6,1,1
10.000000,0.622665,0.050000,5,0.200000,1704,574,0.157347,2278,0.624453,990,1060,0.308183,378,31,31,903,721,356,634,0.197361,0.313633,0.143280,612,31,5,86.111111,0.056766,135645,2.726179,26594,0.118274,158953,0.000000,46,1,1,104,73,42,35,10,10,6,6,1,1
11.000000,0.709931,0.050000,5,0.200000,1438,384,0.105263,1822,0.499453,728,925,0.226623,256,18,18,816,666,242,486,0.151290,0.313633,0.154642,472,31,5,86.111111,0.050868,135645,1.985410,26594,0.082414,158953,0.000000,46,1,1,110,76,49,43,15,15,5,5,0,0
