rule,bag,wall,frames,size_m,dpsi_vs_last_published,d_ant_m,gap_s,reanchor
no gate,concrete_20260826_2026-08-26-17-52-24,2026-08-26 18:22:45.503,2,0.2133,-32.44,0.0122,0.2,0
no gate,orchard_20260826_2026-08-26-08-31-44,2026-08-26 08:40:44.376,1,0.0631,9.4,0.0073,0.2,0
no gate,run_20260827_2026-08-27-18-54-23,2026-08-27 18:57:35.721,1,0.0625,9.05,0.0058,0.2,0
no gate,run_20260828_2026-08-28-10-16-47,2026-08-28 10:27:41.648,1,0.063,10.18,0.0041,0.2,0
no gate,run_20260828_2026-08-28-10-16-47,2026-08-28 10:41:32.635,1,0.0529,8.96,0.005,0.2,0
no gate,run_20260828_2026-08-28-10-16-47,2026-08-28 10:41:42.676,1,0.0684,11.14,0.0032,0.2,0
no gate,run_20260828_2026-08-28-10-16-47,2026-08-28 10:48:08.700,1,0.097,-18.11,0.0193,0.2,0
no gate,run_20260828_2026-08-28-10-16-47,2026-08-28 10:50:06.519,1,0.0789,12.09,0.002,0.2,0
no gate,run_20260828_2026-08-28-10-16-47,2026-08-28 10:53:15.447,1,0.0537,8.5,0.0051,0.2,0
no gate,run_20260828_2026-08-28-10-16-47,2026-08-28 10:56:08.661,1,0.0683,10.81,0.0014,0.2,0
no gate,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:05.569,7,0.3766,62.74,0.004,0.2,0
no gate,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:14.602,2,0.111,-16.68,0.005,0.2,0
no gate,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:19.622,1,0.0784,-9.45,0.0188,0.2,0
no gate,run_20260828_2026-08-28-16-38-15,2026-08-28 16:41:39.451,1,0.6418,-117.19,0.0186,0.2,0
no gate,run_20260828_2026-08-28-16-38-15,2026-08-28 16:42:42.500,2,0.4268,-72.65,0.0073,0.2,0
no gate,run_20260828_2026-08-28-16-38-15,2026-08-28 16:53:19.509,1,0.1539,21.68,0.0186,0.2,0
no gate,run_20260828_2026-08-28-16-38-15,2026-08-28 16:56:40.469,1,0.0501,-10.3,0.0156,0.2,0
no gate,run_20260828_2026-08-28-16-38-15,2026-08-28 16:59:37.543,3,0.091,13.47,0.0117,0.2,0
no gate,run_20260828_2026-08-28-16-38-15,2026-08-28 17:02:44.664,1,0.0658,-9.21,0.01,0.2,0
no gate,run_20260828_2026-08-28-16-38-15,2026-08-28 17:09:37.810,1,0.0542,6.19,0.0189,0.4,0
no gate,run_20260828_2026-08-28-16-38-15,2026-08-28 17:12:24.231,1,0.0527,-6.81,0.0098,0.2,0
no gate,run_20260828_2026-08-28-16-38-15,2026-08-28 17:13:52.960,1,0.061,8.08,0.0143,0.2,0
no gate,run_20260828_2026-08-28-16-38-15,2026-08-28 17:13:58.582,1,0.0633,11.45,0.0102,0.2,0
no gate,run_20260829_2026-08-29-09-12-05,2026-08-29 09:27:40.757,1,0.2288,-36.74,0.0022,0.2,0
no gate,run_20260829_2026-08-29-09-12-05,2026-08-29 09:33:06.538,1,0.0523,6.85,0.0099,0.2,0
no gate,run_20260829_2026-08-29-09-12-05,2026-08-29 09:41:11.622,1,0.0889,14.42,0.003,0.2,0
no gate,run_20260829_2026-08-29-09-12-05,2026-08-29 09:41:45.524,1,0.0513,-8.36,0.002,0.2,0
no gate,run_20260829_2026-08-29-09-12-05,2026-08-29 09:49:01.650,1,0.353,58.44,0.004,0.2,0
no gate,run_20260829_2026-08-29-09-12-05,2026-08-29 09:50:26.303,1,0.0522,-9.06,0.0114,0.2,0
no gate,run_20260829_2026-08-29-09-12-05,2026-08-29 09:51:34.524,1,0.3908,-64.96,0.002,0.2,0
no gate,run_20260829_2026-08-29-09-12-05,2026-08-29 09:52:44.531,3,0.1318,21.41,0.005,0.2,0
no gate,run_20260830_2026-08-30-17-20-39,2026-08-30 17:32:56.255,1,0.0985,16.26,0.0051,0.2,0
no gate,run_20260906_2026-09-06-15-26-15,2026-09-06 15:33:51.495,1,0.0524,8.2,0.003,0.2,0
no gate,run_20260906_2026-09-06-15-26-15,2026-09-06 15:34:45.536,17,0.7269,-167.51,0.0163,0.2,0
no gate,run_20260906_2026-09-06-15-26-15,2026-09-06 15:35:00.601,1,0.0727,12.36,0.006,0.2,0
no gate,run_20260906_2026-09-06-15-26-15,2026-09-06 15:51:41.653,1,0.2757,44.48,0.0014,0.2,0
no gate,run_20260906_2026-09-06-15-26-15,2026-09-06 15:57:03.094,2,0.4014,-67.54,0.0103,0.2,0
no gate,run_20260906_2026-09-06-15-26-15,2026-09-06 15:57:31.421,2,0.1837,29.66,0.0081,0.2,0
no gate,run_20260906_2026-09-06-15-26-15,2026-09-06 16:03:16.568,1,0.0693,-9.63,0.0081,0.2,0
no gate,run_20260906_2026-09-06-15-26-15,2026-09-06 16:05:55.675,1,0.0818,-9.79,0.02,0.2,0
no gate,run_20260906_2026-09-06-15-26-15,2026-09-06 16:11:52.518,1,0.0516,5.43,0.0197,0.2,0
no gate,run_20260906_2026-09-06-15-26-15,2026-09-06 16:18:20.491,1,0.1091,-16.6,0.0051,0.2,0
no gate,run_20260906_2026-09-06-15-26-15,2026-09-06 16:22:48.482,7,0.1178,-19.16,0.007,0.2,0
no gate,run_20260906_2026-09-06-15-26-15,2026-09-06 16:23:05.557,3,0.0597,9.38,0.0041,0.2,0
no gate,run_20260906_2026-09-06-15-26-15,2026-09-06 16:23:15.602,2,0.0712,9.25,0.015,0.2,0
no gate,run_20260906_2026-09-06-15-26-15,2026-09-06 16:24:27.521,1,0.0533,9.05,0.0045,0.2,0
no gate,run_20260907_2026-09-07-13-15-11,2026-09-07 13:50:08.536,1,0.2107,33.33,0.0014,0.2,0
no gate,run_20260907_2026-09-07-13-15-11,2026-09-07 13:57:38.656,5,0.1496,22.1,0.0161,0.2,0
no gate,run_20260907_2026-09-07-13-15-11,2026-09-07 13:59:28.468,1,0.1757,25.43,0.018,0.2,0
no gate,run_20260907_2026-09-07-14-19-47,2026-09-07 14:25:43.636,1,0.3244,-52.56,0.001,0.2,0
no gate,run_20260909_2026-09-09-07-56-42,2026-09-09 08:13:07.709,3,0.085,-13.59,0.0032,0.2,0
no gate,run_20260909_2026-09-09-07-56-42,2026-09-09 08:13:16.542,2,0.1168,18.05,0.0028,0.2,0
no gate,run_20260912_2026-09-12-13-58-05,2026-09-12 15:41:49.361,1,0.0597,7.67,0.012,0.2,0
v1 g=10,fixed_0824_2026-08-24-17-36-06,2026-08-24 17:48:11.694,1,0.1259,18.59,0.008,0.2,1
v1 g=10,fixed_0824_2026-08-24-17-36-06,2026-08-24 17:50:35.099,1,0.1242,-18.94,0.0076,0.2,1
v1 g=10,fixed_0824_2026-08-24-17-36-06,2026-08-24 17:59:33.906,1,0.1106,-17.84,0.0028,0.2,1
v1 g=10,fixed_0824_2026-08-24-17-36-06,2026-08-24 18:01:52.097,1,0.2588,-43.88,0.0151,0.2,1
v1 g=10,fixed_0824_2026-08-24-17-36-06,2026-08-24 18:04:07.259,1,0.0711,-13.77,0.0194,0.2,1
v1 g=10,newfield_20260826_2026-08-26-16-36-00,2026-08-26 17:08:19.149,1,0.3558,-60.33,0.016,0.8,1
v1 g=10,orchard_20260826_2026-08-26-08-31-44,2026-08-26 08:33:04.227,1,0.2732,-43.73,0.0022,0.2,1
v1 g=10,orchard_20260826_2026-08-26-08-31-44,2026-08-26 08:35:09.648,1,0.3134,-48.34,0.0151,0.4,1
v1 g=10,orchard_20260826_2026-08-26-08-31-44,2026-08-26 08:40:44.376,1,0.0631,9.4,0.0073,0.2,0
v1 g=10,repeat5_0819_2026-08-19-17-48-18,2026-08-19 17:52:08.276,1,0.1254,19.1,0.0041,0.2,1
v1 g=10,run_20260827_2026-08-27-18-54-23,2026-08-27 18:57:35.721,1,0.0625,9.05,0.0058,0.2,0
v1 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:27:41.849,1,0.0622,10.17,0.0032,0.2,1
v1 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:40:48.073,1,0.1975,30.32,0.0081,0.2,1
v1 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:41:21.390,1,0.2858,-44.7,0.0124,0.2,1
v1 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:41:31.428,2,0.0815,12.6,0.012,0.2,1
v1 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:41:42.877,1,0.0708,10.55,0.0041,0.2,1
v1 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:43:41.694,1,0.1227,18.96,0.0151,0.2,1
v1 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:48:09.104,2,0.1209,-19.94,0.0122,0.2,1
v1 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:50:06.719,1,0.0742,12.14,0.0032,0.2,1
v1 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:53:15.447,1,0.0537,8.5,0.0051,0.2,0
v1 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 10:56:08.862,1,0.0688,10.76,0.0022,0.2,1
v1 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 11:01:09.142,1,0.154,-24.9,0.0051,0.2,1
v1 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:04.565,2,0.1326,-20.53,0.0032,0.2,1
v1 g=10,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:14.000,3,0.1315,-18.62,0.0141,0.2,1
v1 g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 16:42:38.687,1,0.0679,11.89,0.0158,0.2,1
v1 g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 16:42:44.106,1,0.4015,-65.24,0.0092,0.8,1
v1 g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 16:59:36.939,3,0.1124,-19.62,0.0198,0.2,1
v1 g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 17:00:56.048,3,0.1623,24.01,0.0142,0.2,1
v1 g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 17:02:44.664,1,0.0658,-9.21,0.01,0.2,0
v1 g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 17:09:37.810,1,0.0542,6.19,0.0189,0.4,0
v1 g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 17:12:24.231,1,0.0527,-6.81,0.0098,0.2,0
v1 g=10,run_20260828_2026-08-28-16-38-15,2026-08-28 17:13:52.960,1,0.061,8.08,0.0143,0.2,0
v1 g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:27:41.559,1,0.2301,-35.81,0.0064,0.2,1
v1 g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:33:06.538,1,0.0523,6.85,0.0099,0.2,0
v1 g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:36:24.136,1,0.1829,26.32,0.0175,0.2,1
v1 g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:41:11.822,1,0.0903,14.23,0.0022,0.2,1
v1 g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:41:45.524,1,0.0513,-8.36,0.002,0.2,0
v1 g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:50:26.303,1,0.0522,-9.06,0.0114,0.2,0
v1 g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:51:36.129,1,0.3882,-64.28,0.0028,0.8,1
v1 g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:52:45.133,3,0.1862,30.46,0.0122,0.2,1
v1 g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:52:53.156,1,0.1214,-18.25,0.0081,0.2,1
v1 g=10,run_20260830_2026-08-30-10-12-33,2026-08-30 10:13:37.558,1,0.3341,53.53,0.0058,0.6,1
v1 g=10,run_20260830_2026-08-30-17-20-39,2026-08-30 17:32:56.659,1,0.1324,21.05,0.0022,0.0,1
v1 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 15:33:51.495,1,0.0524,8.2,0.003,0.2,0
v1 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 15:34:43.929,7,0.1463,-22.93,0.001,0.2,1
v1 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 15:35:01.002,1,0.0792,10.39,0.0156,0.2,1
v1 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 15:51:42.657,1,0.2763,44.43,0.002,0.2,1
v1 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 15:57:04.701,2,0.3866,-63.82,0.005,0.8,1
v1 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 15:57:31.421,2,0.074,11.93,0.0081,0.2,1
