bag,t,cls_imu,hold_count,dpsi_deg,dheld_deg,err_m,gate_deg
run_20260828_2026-08-28-10-16-47,1787885160.81300,turn,2,1.32300,0.08900,0.00057,17.00000
run_20260828_2026-08-28-10-16-47,1787887925.76900,slow,2,-0.30090,0.00200,0.00001,17.00000
run_20260828_2026-08-28-10-16-47,1787888976.12500,turn,2,0.38990,2.38800,0.01523,17.00000
run_20260828_2026-08-28-10-16-47,1787889314.27400,straight,2,0.00000,0.20500,0.00131,17.00000
run_20260828_2026-08-28-16-38-15,1787907655.64700,turn,2,-0.53060,0.62400,0.00398,17.00000
run_20260829_2026-08-29-09-12-05,1787966860.95800,slow,2,-0.19260,0.00600,0.00004,17.00000
run_20260829_2026-08-29-09-12-05,1787967347.82800,straight,2,1.55790,0.08400,0.00054,17.00000
run_20260829_2026-08-29-09-12-05,1787967359.86500,straight,2,-1.24900,0.33400,0.00213,17.00000
run_20260829_2026-08-29-09-12-05,1787967383.73600,slow,2,-0.23550,0.13600,0.00087,17.00000
run_20260829_2026-08-29-09-12-05,1787967492.86900,straight,2,0.96050,0.73100,0.00466,17.00000
run_20260829_2026-08-29-09-12-05,1787967623.67800,straight,2,-0.86800,0.49400,0.00315,17.00000
run_20260829_2026-08-29-09-12-05,1787967623.87800,straight,3,1.22950,0.58200,0.00371,17.00000
run_20260829_2026-08-29-09-12-05,1787968141.85000,slow,2,0.58690,1.68300,0.01074,17.00000
run_20260829_2026-08-29-09-12-05,1787968343.87300,turn,2,0.89840,3.68700,0.02352,17.00000
run_20260829_2026-08-29-09-12-05,1787968470.86200,turn,2,-2.47530,1.26500,0.00807,17.00000
run_20260829_2026-08-29-09-12-05,1787968644.39900,turn,2,-0.21060,1.20100,0.00766,17.00000
run_20260829_2026-08-29-09-12-05,1787968645.20100,turn,2,0.00000,1.64800,0.01051,17.00000
run_20260906_2026-09-06-15-26-15,1788680239.85100,slow,2,0.53410,0.00300,0.00002,17.00000
run_20260906_2026-09-06-15-26-15,1788681423.29500,slow,2,0.00000,0.00800,0.00005,17.00000
run_20260906_2026-09-06-15-26-15,1788682965.26800,slow,2,0.00000,0.00400,0.00003,17.00000
run_20260906_2026-09-06-15-26-15,1788682970.69200,slow,2,0.08740,0.00100,0.00001,17.00000
run_20260907_2026-09-07-13-15-11,1788760206.52700,slow,2,0.00000,0.00300,0.00002,17.00000
run_20260907_2026-09-07-13-15-11,1788760208.73800,slow,2,0.14100,0.01400,0.00009,17.00000
run_20260907_2026-09-07-13-15-11,1788760526.35000,straight,2,0.00000,0.18800,0.00120,17.00000
run_20260907_2026-09-07-13-15-11,1788760653.43600,straight,2,0.34900,0.24400,0.00156,17.00000
run_20260907_2026-09-07-13-15-11,1788760660.66500,slow,2,0.00000,0.00200,0.00001,17.00000
run_20260907_2026-09-07-13-15-11,1788760762.04500,straight,2,0.00000,0.24800,0.00158,17.00000
run_20260907_2026-09-07-13-15-11,1788760768.66800,turn,2,-0.43480,1.39200,0.00888,17.00000
run_20260907_2026-09-07-13-15-11,1788760973.03900,straight,2,1.74380,0.17300,0.00110,17.00000
run_20260907_2026-09-07-13-15-11,1788760984.67800,straight,2,0.00000,0.25900,0.00165,17.00000
run_20260907_2026-09-07-14-19-47,1788762332.39000,straight,2,0.00000,0.24600,0.00157,17.00000
run_20260907_2026-09-07-14-19-47,1788762533.77100,straight,2,0.00000,0.01000,0.00006,17.00000
run_20260909_2026-09-09-07-56-42,1788912796.74400,slow,2,-0.46010,0.00000,0.00000,17.00000
run_20260909_2026-09-09-07-56-42,1788913334.26400,straight,2,0.00000,0.51100,0.00326,17.00000
