bag,site,induced,wall,t,dt,dpsi_deg,dp_pub,dp_ant,pred_jump,resid,across_pre,across,along_pre,quality,sats,age_s,cov35,dpsi_imu_deg,imu_turn_2s,stale_candidate,gz_max,cls_imu
concrete_20260826_2026-08-26-17-52-24,concrete yard,0,2026-08-26 18:22:45.102,1787739765.1020,0.2000,11.5062,0.0724,0.0032,0.0733,-0.0009,0.0379,0.0497,0.0619,4,23,2.0000,0.0001,0.0060,0.0150,False,0.0018,slow
concrete_20260826_2026-08-26-17-52-24,concrete yard,0,2026-08-26 18:22:45.503,1787739765.5030,0.2010,-32.4422,0.2124,0.0118,0.2042,0.0082,-0.1715,-0.0777,-0.1251,4,26,3.0000,0.0001,-0.0000,0.0030,False,0.0016,slow
orchard_20260826_2026-08-26-08-31-44,orchard,0,2026-08-26 08:40:44.376,1787704844.3760,0.2010,9.3981,0.0632,0.0075,0.0599,0.0033,0.0305,0.0393,0.0542,4,24,2.0000,0.0001,6.7610,-7.1660,False,0.6287,turn
run_20260827_2026-08-27-18-54-23,concrete yard,0,2026-08-27 18:57:35.721,1787828255.7210,0.2000,9.0548,0.0617,0.0056,0.0577,0.0040,0.0318,0.0403,0.0524,4,23,0.0000,0.0001,0.0030,0.0220,False,0.0017,slow
run_20260828_2026-08-28-10-16-47,greenhouse,0,2026-08-28 10:27:41.648,1787884061.6480,0.2010,10.1819,0.0625,0.0040,0.0649,-0.0024,0.0382,0.0465,0.0493,4,29,1.0000,0.0001,-0.0140,0.0900,False,0.0060,straight
run_20260828_2026-08-28-10-16-47,greenhouse,0,2026-08-28 10:41:32.635,1787884892.6350,0.2000,8.9576,0.0528,0.0054,0.0571,-0.0043,0.0333,0.0391,0.0413,4,25,1.0000,0.0001,2.3940,24.9190,False,0.4375,turn
run_20260828_2026-08-28-10-16-47,greenhouse,0,2026-08-28 10:41:42.676,1787884902.6760,0.2000,11.1431,0.0680,0.0034,0.0710,-0.0030,0.0380,0.0475,0.0568,4,30,1.0000,0.0001,0.0070,0.7600,False,0.0043,slow
run_20260828_2026-08-28-10-16-47,greenhouse,0,2026-08-28 10:48:08.700,1787885288.7000,0.2010,-18.1077,0.0967,0.0195,0.1150,-0.0183,-0.0685,-0.0445,-0.0685,4,32,1.0000,0.0001,-1.5170,-21.6270,True,0.2321,turn
run_20260828_2026-08-28-10-16-47,greenhouse,0,2026-08-28 10:50:06.519,1787885406.5190,0.2010,12.0877,0.0787,0.0018,0.0770,0.0017,0.0445,0.0571,0.0642,4,30,0.0000,0.0001,-0.0030,-0.0200,False,0.0014,slow
run_20260828_2026-08-28-10-16-47,greenhouse,0,2026-08-28 10:53:15.447,1787885595.4470,0.2010,8.4955,0.0533,0.0050,0.0542,-0.0008,0.0352,0.0406,0.0404,4,30,1.0000,0.0001,-0.0040,-0.0160,False,0.0015,slow
run_20260828_2026-08-28-10-16-47,greenhouse,0,2026-08-28 10:56:08.661,1787885768.6610,0.2010,10.8127,0.0685,0.0022,0.0689,-0.0004,0.0375,0.0472,0.0569,4,31,1.0000,0.0001,0.0000,0.0260,False,0.0017,slow
run_20260828_2026-08-28-10-16-47,greenhouse,0,2026-08-28 11:32:03.763,1787887923.7630,0.2010,-24.0252,0.1451,0.0085,0.1522,-0.0070,-0.1175,-0.0723,-0.0849,4,28,0.0000,0.0001,-2.9580,-0.0700,False,0.4582,turn
run_20260828_2026-08-28-10-16-47,greenhouse,0,2026-08-28 11:32:04.565,1787887924.5650,0.2000,20.0359,0.1262,0.0022,0.1272,-0.0010,0.0645,0.0979,0.1086,4,26,0.0000,0.0001,2.0840,-11.7140,False,0.2877,straight
run_20260828_2026-08-28-10-16-47,greenhouse,0,2026-08-28 11:32:04.967,1787887924.9670,0.2010,-59.0758,0.3632,0.0048,0.3604,0.0027,-0.3391,-0.0621,-0.1305,4,26,0.0000,0.0001,-0.0590,-10.4280,False,0.0551,turn
run_20260828_2026-08-28-10-16-47,greenhouse,0,2026-08-28 11:32:05.168,1787887925.1680,0.2010,-18.5943,0.1172,0.0020,0.1181,-0.0009,-0.0899,-0.0614,-0.0755,4,26,0.0000,0.0001,0.2190,-10.4790,False,0.0439,slow
run_20260828_2026-08-28-10-16-47,greenhouse,0,2026-08-28 11:32:05.368,1787887925.3680,0.2010,17.1325,0.0995,0.0097,0.1089,-0.0094,0.0537,0.0758,0.0840,4,26,0.0000,0.0001,-0.0060,-10.8800,False,0.0075,slow
run_20260828_2026-08-28-10-16-47,greenhouse,0,2026-08-28 11:32:05.569,1787887925.5690,0.2000,62.7413,0.3772,0.0034,0.3806,-0.0034,0.0560,0.3575,0.3733,4,28,0.0000,0.0001,0.0030,-10.1140,False,0.0023,slow
run_20260828_2026-08-28-10-16-47,greenhouse,0,2026-08-28 11:32:06.572,1787887926.5720,0.2000,-8.0716,0.0576,0.0082,0.0515,0.0062,-0.0362,-0.0290,-0.0455,4,26,0.0000,0.0001,0.0030,1.9210,False,0.0019,slow
run_20260828_2026-08-28-10-16-47,greenhouse,0,2026-08-28 11:32:13.598,1787887933.5980,0.2010,-17.4137,0.1067,0.0043,0.1107,-0.0040,-0.0818,-0.0568,-0.0686,4,21,0.0000,0.0001,-0.0100,-0.0160,False,0.0022,slow
run_20260828_2026-08-28-10-16-47,greenhouse,0,2026-08-28 11:32:14.602,1787887934.6020,0.2010,-16.6845,0.1109,0.0049,0.1061,0.0048,-0.0832,-0.0590,-0.0734,4,26,0.0000,0.0001,-0.0050,-0.0350,False,0.0020,slow
run_20260828_2026-08-28-10-16-47,greenhouse,0,2026-08-28 11:32:19.622,1787887939.6220,0.2010,-9.4490,0.0789,0.0192,0.0602,0.0186,-0.0518,-0.0413,-0.0597,4,24,0.0000,0.0001,-0.0000,-0.0080,False,0.0015,slow
run_20260828_2026-08-28-16-38-15,greenhouse,0,2026-08-28 16:41:39.451,1787906499.4510,0.2010,-117.1931,0.6417,0.0184,0.6240,0.0176,-0.6339,0.1994,0.1017,4,22,1.0000,0.0001,,0.0000,False,,straight
run_20260828_2026-08-28-16-38-15,greenhouse,0,2026-08-28 16:42:42.500,1787906562.5000,0.2010,-72.6498,0.4272,0.0071,0.4331,-0.0059,-0.4143,-0.0235,-0.1043,4,17,1.0000,0.0001,,0.0000,False,,straight
run_20260828_2026-08-28-16-38-15,greenhouse,0,2026-08-28 16:42:43.103,1787906563.1030,0.2000,12.5652,0.0819,0.0019,0.0800,0.0019,0.0452,0.0591,0.0683,4,25,1.0000,0.0001,,0.0000,False,,straight
run_20260828_2026-08-28-16-38-15,greenhouse,0,2026-08-28 16:53:19.509,1787907199.5090,0.2010,21.6830,0.1542,0.0186,0.1375,0.0167,0.0677,0.1139,0.1384,4,28,0.0000,0.0001,0.3680,7.5290,False,0.0770,slow
run_20260828_2026-08-28-16-38-15,greenhouse,0,2026-08-28 16:56:40.469,1787907400.4690,0.2000,-10.2965,0.0504,0.0153,0.0656,-0.0152,-0.0369,-0.0302,-0.0337,4,24,0.0000,0.0001,-5.4690,-38.9850,False,0.5143,slow
run_20260828_2026-08-28-16-38-15,greenhouse,0,2026-08-28 16:59:36.137,1787907576.1370,0.2010,8.8374,0.0692,0.0146,0.0563,0.0128,0.0334,0.0426,0.0604,4,24,0.0000,0.0001,-0.2750,-1.7730,False,0.0375,slow
run_20260828_2026-08-28-16-38-15,greenhouse,0,2026-08-28 16:59:36.538,1787907576.5380,0.2010,-13.7939,0.0739,0.0162,0.0878,-0.0139,-0.0598,-0.0466,-0.0445,4,25,0.0000,0.0001,-0.1610,-1.8650,False,0.0420,straight
