bag,site,fixed_h,dur_h,n_pstep,per_fixed_h
run_20260907_2026-09-07-13-15-11,concrete yard,1.0451,1.0574,4,3.8273
run_20260907_2026-09-07-14-19-47,concrete yard,0.5318,0.5345,1,1.8805
concrete_20260826_2026-08-26-17-52-24,concrete yard,0.5326,0.5325,1,1.8777
demo_0824_2026-08-24-18-39-18,concrete yard,0.0938,0.0937,0,0.0000
fixed_0824_2026-08-24-17-36-06,concrete yard,0.5014,0.5014,0,0.0000
fusion_20260825_132239_2026-08-25-13-22-39,concrete yard,0.0430,0.0430,0,0.0000
quad_20260825_2026-08-25-17-03-46,concrete yard,0.1073,0.1074,0,0.0000
r03_0824_2026-08-24-19-13-50,concrete yard,0.0729,0.0729,0,0.0000
repeat5_0819_2026-08-19-17-48-18,concrete yard,0.1714,0.1816,0,0.0000
repeat_0824_2026-08-24-17-15-53,concrete yard,0.1753,0.1752,0,0.0000
run_20260827_2026-08-27-18-54-23,concrete yard,0.6196,0.6195,0,0.0000
run_20260830_2026-08-30-09-41-47,concrete yard,0.0249,0.0249,0,0.0000
run_20260830_2026-08-30-09-44-06,concrete yard,0.2082,0.2082,0,0.0000
run_20260830_2026-08-30-10-12-33,concrete yard,0.0345,0.0345,0,0.0000
run_20260830_2026-08-30-10-15-08,concrete yard,0.1364,0.1364,0,0.0000
run_20260830_2026-08-30-10-35-18,concrete yard,1.4087,1.4086,0,0.0000
run_20260830_2026-08-30-17-20-39,concrete yard,0.2119,0.2118,0,0.0000
run_20260906_2026-09-06-16-32-55,concrete yard,0.9580,0.9579,0,0.0000
run_20260906_2026-09-06-17-50-37,concrete yard,0.0142,0.0142,0,0.0000
run_20260906_2026-09-06-17-52-42,concrete yard,0.6008,0.6008,0,0.0000
run_20260907_2026-09-07-13-07-40,concrete yard,0.0129,0.0129,0,0.0000
run_20260907_2026-09-07-13-09-09,concrete yard,0.0710,0.0709,0,0.0000
run_20260907_2026-09-07-15-27-57,concrete yard,0.5878,0.5878,0,0.0000
tight08_0824_2026-08-24-18-56-08,concrete yard,0.1052,0.1051,0,0.0000
tight08slow_0824_2026-08-24-19-03-53,concrete yard,0.0877,0.0876,0,0.0000
run_20260910_2026-09-10-16-42-10,concrete yard,0.6904,0.6903,0,0.0000
run_20260910_2026-09-10-17-55-11,concrete yard,0.7932,0.7932,0,0.0000
run_20260912_2026-09-12-13-52-20,concrete yard,0.0766,0.0766,0,0.0000
run_20260912_2026-09-12-13-58-05,concrete yard,1.7600,1.7599,0,0.0000
run_20260826_2026-08-26-19-52-27,concrete yard,0.0000,0.0426,0,
run_20260826_2026-08-26-19-56-35,concrete yard,0.0000,0.0617,0,
run_20260826_2026-08-26-20-01-01,concrete yard,0.0000,0.1021,0,
run_20260906_2026-09-06-15-26-15,greenhouse,0.7938,0.9769,15,18.8957
run_20260828_2026-08-28-10-16-47,greenhouse,1.0023,1.6728,7,6.9837
run_20260829_2026-08-29-09-12-05,greenhouse,0.7499,0.8729,4,5.3337
run_20260828_2026-08-28-16-38-15,greenhouse,0.6111,0.6110,3,4.9095
run_20260830_2026-08-30-18-16-30,greenhouse,0.0111,0.0282,0,0.0000
run_20260909_2026-09-09-07-56-42,orchard,0.4270,0.5502,1,2.3419
newfield_20260826_2026-08-26-16-36-00,orchard,0.8295,0.8294,0,0.0000
orchard_20260826_2026-08-26-08-31-44,orchard,0.2385,0.2385,0,0.0000
run_20260904_2026-09-04-13-49-34,orchard,0.3374,0.3373,0,0.0000
run_20260906_2026-09-06-08-02-57,orchard,0.1686,0.1686,0,0.0000
run_20260906_2026-09-06-08-13-50,orchard,0.2191,0.2191,0,0.0000
run_20260906_2026-09-06-08-28-44,orchard,0.2373,0.2373,0,0.0000
run_20260906_2026-09-06-08-43-55,orchard,0.2773,0.2772,0,0.0000
run_20260909_2026-09-09-07-19-13,orchard,0.5916,0.5915,0,0.0000
run_20260912_2026-09-12-07-46-55,orchard,0.7977,0.7976,0,0.0000
