group,quantity,value,unit,definition
anomaly,overlapping recordings: orchard3src_20260826_2026-08-26-10-02-59 / orchard_20260826_2026-08-26-08-31-44,14.0,min,"both files carry /rtk_odom frames stamped 2026-08-26 08:31:44.362 to 2026-08-26 08:45:44.175. Recordings whose time stamps duplicate another recording are replays, not independent data; the replay (orchard3src_20260826_2026-08-26-10-02-59, whose file name claims a later recording time than its own frames) is excluded from every statistic in this file."
corpus,bags excluded as replays,1,bag,orchard3src_20260826_2026-08-26-10-02-59
corpus,frames excluded as replays,4200,frame,0.23 h of duplicated content
physical_bound,gyro samples,326746,frame,frames with a CH110 |omega_z| envelope (max |omega_z| over the frame interval)
physical_bound,non-physical gyro frames,3,frame,"|omega_z| > 5 rad/s (286 deg/s); dropped, same rule as data/post_summary.py"
physical_bound,non-physical gyro max,57099747.238,rad/s,"largest raw CH110 envelope in the corpus, before the rule above"
physical_bound,omega_z p99,0.6605,rad/s,after dropping non-physical samples
physical_bound,bound p99,7.5688,deg/frame,|omega_z| x 0.2 s: the largest heading change the platform can produce in one frame
physical_bound,omega_z p99.9,1.0836,rad/s,after dropping non-physical samples
physical_bound,bound p99.9,12.4166,deg/frame,|omega_z| x 0.2 s: the largest heading change the platform can produce in one frame
physical_bound,omega_z max,1.4537,rad/s,after dropping non-physical samples
physical_bound,bound max,16.6582,deg/frame,|omega_z| x 0.2 s: the largest heading change the platform can produce in one frame
physical_bound,frames above the max bound,205,frame,|dpsi| > 16.658 deg/frame: physically impossible in one 5 Hz frame
physical_bound,P(|dpsi| > max bound),0.06274,%,of the 326743 increments with a usable gyro envelope
physical_bound,frames above their own gyro envelope + margin,3025,frame,"|dpsi| > |omega_z|_frame x 0.2 s + 2.86 deg (the deployed yaw_gate_margin, standing for heading noise); without the margin the comparison is dominated by the noise floor, since the median increment already exceeds what the gyro shows on a standing vehicle"
physical_bound,P(above own envelope + margin),0.9258,%,
corpus,bags,47,bag,"recordings with a /rtk_odom stream, after excluding replays"
corpus,frames,364916,frame,total /rtk_odom frames (5 Hz)
corpus,hours,20.3155,h,sum of per-bag /rtk_odom span (last minus first frame)
corpus,fixed_frames,341445,frame,frames whose nearest /rtk/status (within 1.5 s) reports a fixed solution
corpus,fixed_hours,18.9692,h,fixed_frames x 0.2 s
corpus,fixed_share,93.57,%,fixed_frames / frames
corpus,bags_with_rtk_fix,5,bag,bags recording /rtk/fix (raw ANT1 lat/lon); /rtk/fix joined the recording list 2026-09-10
corpus,bags_with_ch110,40,bag,"bags recording /ch110/data_raw (IMU, ~85-100 Hz)"
corpus,frames_with_imu,331679,frame,usable increments that also carry an IMU-integrated increment
