bag,start,duration_s,frames,trigger_dpsi,trigger_gyro,trigger_quality,trigger_dp_pub,trigger_dp_ant,median_offset_deg
run_20260828_2026-08-28-10-16-47,2026-08-28 10:46:00.611,1297.6,6488,-168.29,0.08,5,0.6793,0.0758,168.0
run_20260906_2026-09-06-15-26-15,2026-09-06 15:37:19.650,827.2,4137,110.73,-0.0,5,0.6022,0.0007,111.8
run_20260828_2026-08-28-16-38-15,2026-08-28 16:41:39.451,558.7,2793,-117.19,,4,0.6417,0.0184,85.3
run_20260829_2026-08-29-09-12-05,2026-08-29 09:49:01.650,200.4,1002,58.44,0.86,4,0.3539,0.0031,58.0
run_20260906_2026-09-06-15-26-15,2026-09-06 15:57:03.094,192.7,963,-67.54,0.0,4,0.4014,0.0107,61.6
run_20260829_2026-08-29-09-12-05,2026-08-29 09:27:40.757,180.9,905,-36.74,0.0,4,0.2289,0.0028,37.9
run_20260907_2026-09-07-13-15-11,2026-09-07 13:50:08.536,139.3,697,33.33,-0.01,4,0.2103,0.0011,33.0
run_20260906_2026-09-06-15-26-15,2026-09-06 15:34:45.536,112.3,561,-167.51,-0.01,4,0.7264,0.0164,89.2
run_20260909_2026-09-09-07-56-42,2026-09-09 08:22:16.472,73.5,368,-155.3,-2.81,5,1.2869,1.9695,46.1
run_20260907_2026-09-07-13-15-11,2026-09-07 13:59:28.468,62.2,311,25.43,-0.84,4,0.1755,0.018,24.5
